"""Company History""",&quot;நிறுவனத்தின் வரலாறு&quot;,
"""Team Members"" or ""Management""","""\nகுழு உறுப்பினர்கள்"" அல்லது ""நிர்வாகம்""",
&lt;head&gt; HTML,"&lt;தலையில்&gt; HTML,",
**Currency** Master,** நாணய ** மாஸ்டர்,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - வரைவு; 1 -சமர்பிக்கப்பட்டன; 2 - ரத்து,
0 is highest,0 உயர்ந்து உள்ளது,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,வாடிக்கையாளர் பயன்பாட்டை பயனர் அதை அனுமதிக்கிறது பின்னர் அணுக வேண்டும் இது வளங்களை பட்டியல். <br> எ.கா. திட்டம்,
A symbol for this currency. For e.g. $,இந்த நாணயம் ஒரு குறியீடு. உதாரணமாக $ க்கு,
A4,ஏ 4,
ALL,அனைத்து,
API,ஏபிஐ,
API Access,API அணுகல்,
API Endpoint,API முடிப்பு,
API Endpoint Args,API முடிப்பு Args,
API Key,API விசை,
API Method,API முறை,
API Secret,API இரகசிய,
ASC,ASC,
About Us Settings,"""எங்களை பற்றி"" அமைப்புகள்",
About Us Team Member,எங்களை குழு உறுப்பினர் பற்றி,
Access Key ID,அணுகல் விசை ஐடி,
Access Key Secret,விசை ரகசியத்தை அணுகவும்,
Access Log,அணுகல் பதிவு,
Access Token,அணுகல் டோக்கன்,
Access Token URL,அணுகல் டோக்கன் URL,
Account,கணக்கு,
Accounts Manager,கணக்குகள் மேலாளர்,
Accounts User,பயனர் கணக்குகள்,
Action,செயல்,
Action / Route,செயல் / பாதை,
Action Timeout (Seconds),அதிரடி நேரம் (விநாடிகள்),
Action Type,செயல் வகை,
Actions,செயல்கள்,
Active,செயலில்,
Active Domains,செயலில் களங்கள்,
Activity Log,நடவடிக்கை பதிவு,
Add Container,கொள்கலன் சேர்க்கவும்,
Add Custom Tags,தனிப்பயன் குறிச்சொற்களைச் சேர்க்கவும்,
Add Gray Background,சாம்பல் பின்னணி சேர்க்கவும்,
Add Signature,கையொப்பம் சேர்க்கவும்,
Add Total Row,மொத்த வரிசையில் சேர்க்க,
Add Unsubscribe Link,குழுவிலகல் இணைப்பு சேர்,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","&lt;Head&gt; சேர்க்கப்பட்டது HTML வலை பக்கம் பிரிவு, முதன்மையாக வலைத்தளத்தில் சரிபார்ப்பு மற்றும் எஸ்சிஓ பயன்படுத்தப்படும்",
Additional Permissions,கூடுதல் அனுமதிகள்,
Address,முகவரி,
Address And Contacts,முகவரி மற்றும் தொடர்புகள்,
Address Line 1,முகவரி வரி 1,
Address Line 2,முகவரி வரி 2,
Address Template,முகவரி டெம்ப்ளேட்,
Address Title,முகவரி தலைப்பு,
Address Type,முகவரி வகை,
Address and other legal information you may want to put in the footer.,முகவரி மற்றும் பிற சட்ட தகவல் நீங்கள் அடிக்குறிப்பில் உள்ள வைக்க வேண்டும்.,
Addresses And Contacts,முகவரிகள் மற்றும் தொடர்புகள்,
Adds a custom field to a DocType,ஒரு DOCTYPE ஒரு விருப்ப துறையில் சேர்க்கிறது,
Administrator,நிர்வாகி,
Advanced,மேம்பட்ட,
Advanced Control,மேம்பட்ட கட்டுப்பாடு,
Advanced Settings,மேம்பட்ட அமைப்புகள்,
After Cancel,ரத்து செய்த பிறகு,
After Delete,நீக்கு பிறகு,
After Save,சேமி பிறகு,
After Save (Submitted Document),சேமித்த பிறகு (சமர்ப்பிக்கப்பட்ட ஆவணம்),
After Submit,சமர்ப்பித்த பிறகு,
Aggregate Function Based On,மொத்த செயல்பாடு அடிப்படையில்,
Alert,எச்சரிக்கை,
Align Labels to the Right,லேபிள்களை வலதுபுறமாக சீரமை,
Align Right,வலதுபுறம் சீரமைக்கவும்,
All,எல்லாம்,
All Day,அனைத்து தினம்,
Allocated To,ஒதுக்கிவைக்கப்பட்டது,
Allot Points To Assigned Users,ஒதுக்கப்பட்ட பயனர்களுக்கு புள்ளிகள் ஒதுக்குங்கள்,
Allow,அனுமதி,
Allow Auto Repeat,தானாக மீண்டும் செய்ய அனுமதிக்கவும்,
Allow Bulk Edit,மொத்த திருத்த அனுமதி,
Allow Comments,கருத்துகளை அனுமதி,
Allow Consecutive Login Attempts ,தொடர்ந்து உள்நுழைவு முயற்சிகளை அனுமதி,
Allow Delete,அனுமதி  நீக்க,
Allow Dropbox Access,டிராப்பாக்ஸ் அணுகல் அனுமதி,
Allow Guest,விருந்தினரை அனுமதி,
Allow Guest to View,விருந்தினர் காண்க அனுமதி,
Allow Guests to Upload Files,கோப்புகளைப் பதிவேற்ற விருந்தினர்களை அனுமதிக்கவும்,
Allow Import (via Data Import Tool),இறக்குமதி அனுமதி (தரவு இறக்குமதி கருவி மூலம்),
Allow Incomplete Forms,விண்ணப்பங்கள் பாரங்கள் அனுமதி,
Allow Login After Fail,தோல்வியடைந்த பிறகு புகுபதிகை அனுமதி,
Allow Login using Mobile Number,மொபைல் எண் பயன்படுத்தி உள்நுழைய அனுமதி,
Allow Login using User Name,பயனர் பெயர் பயன்படுத்தி உள்நுழைய அனுமதி,
Allow Modules,தொகுதிகள் அனுமதிக்கவும்,
Allow Print,அச்சு அனுமதி,
Allow Print for Cancelled,ரத்து அச்சு அனுமதி,
Allow Print for Draft,வரைவு அச்சு அனுமதி,
Allow Read On All Link Options,அனைத்து இணைப்பு விருப்பங்களையும் படிக்க அனுமதி,
Allow Rename,மறுபெயரிடு அனுமதி,
Allow Roles,பாத்திரங்கள் அனுமதி,
Allow Self Approval,சுய ஒப்புதல் அனுமதி,
Allow approval for creator of the document,ஆவணத்தின் உருவாக்கியவருக்கு ஒப்புதலை அனுமதி,
Allow document creation via Email,மின்னஞ்சல் வழியாக ஆவண உருவாக்கத்தை அனுமதிக்கவும்,
Allow events in timeline,காலவரிசை நிகழ்வுகளை அனுமதி,
Allow in Quick Entry,விரைவு நுழைவில் அனுமதி,
Allow on Submit,சமர்ப்பி மீது அனுமதிக்க,
Allow only one session per user,பயனர் ஒன்றுக்கு ஒரே ஒரு அமர்வு அனுமதி,
Allow page break inside tables,அட்டவணைகள் உள்ளே பக்க முறிப்பு அனுமதி,
Allow saving if mandatory fields are not filled,கட்டாய துறைகள் பூர்த்தி செய்யவில்லை என்றால் சேமிப்பு அனுமதி,
Allow user to login only after this hour (0-24),பயனர் இந்த மணி நேரத்திற்கு பிறகு மட்டுமே உள்நுழைய அனுமதி (0-24),
Allow user to login only before this hour (0-24),பயனர் இந்த மணி நேரத்திற்கு முன் தான் உள்ளே செல்ல அனுமதிக்க (0-24),
Allowed,அனுமதித்த,
Allowed In Mentions,குறிப்புகளில் அனுமதிக்கப்பட்டது,
"Always add ""Draft"" Heading for printing draft documents",எப்போதும் அச்சிடும் வரைவு ஆவணங்களை தலைப்பு &quot;வரைவு&quot; சேர்க்க,
Amend,திருத்தப்படும்,
Amended From,முதல் திருத்தப்பட்ட,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico நீட்டிப்பு ஒரு ஐகான் கோப்பு. 16 x 16 px இருக்க வேண்டும். ஒரு ஃபேவிகானை ஜெனரேட்டர் பயன்படுத்தி உருவாக்கப்பட்டது. [Favicon-generator.org],
Analytics,அனலிட்டிக்ஸ்,
Annual,வருடாந்திர,
Anonymous,அநாமதேய,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,எந்த சரம் அடிப்படையிலான அச்சுப்பொறி மொழிகளையும் பயன்படுத்தலாம். மூல கட்டளைகளை எழுதுவதற்கு அச்சுப்பொறி உற்பத்தியாளரால் வழங்கப்பட்ட அச்சுப்பொறியின் சொந்த மொழியைப் பற்றிய அறிவு தேவைப்படுகிறது. அச்சுப்பொறி உற்பத்தியாளரால் அவர்களின் சொந்த கட்டளைகளை எவ்வாறு எழுதுவது என்பது குறித்து டெவலப்பர் கையேட்டைப் பார்க்கவும். இந்த கட்டளைகள் ஜின்ஜா டெம்ப்ளேட்டிங் மொழியைப் பயன்படுத்தி சேவையக பக்கத்தில் வழங்கப்படுகின்றன.,
App,பயன்பாட்டை,
App Access Key,பயன்பாட்டை அணுகல் விசை,
App Client ID,ஆப் கிளையன்ட் ஐடி,
App Client Secret,பயன்பாட்டை வாடிக்கையாளர் இரகசிய,
App Name,பயன்பாடு பெயர்,
App Secret Key,ஆப் இரகசிய விசை,
Append Emails to Sent Folder,அனுப்பிய கோப்புறையில் மின்னஞ்சல்களைச் சேர்க்கவும்,
Append To,சேர்க்க,
Applicable For,பொருந்தும்,
Application Logo,பயன்பாட்டு லோகோ,
Application Name,விண்ணப்ப பெயர்,
Application Version,விண்ணப்ப பதிப்பு,
Applied On,பயன்படுத்தப்பட்டது,
Apply Document Permissions,ஆவண அனுமதிகளைப் பயன்படுத்துங்கள்,
Apply Only Once,ஒரு முறை மட்டுமே விண்ணப்பிக்கவும்,
Apply Strict User Permissions,கண்டிப்பு பயனர் அனுமதிகள் விண்ணப்பிக்கவும்,
Apply To All Document Types,அனைத்து ஆவண வகைகளுக்கும் பொருந்தும்,
Apply this rule if the User is the Owner,பயனர் உரிமையாளராகவே இருந்தால் இந்த ஆட்சி விண்ணப்பிக்கவும்,
Apply this rule only once per document,ஒரு ஆவணத்திற்கு ஒரு முறை மட்டுமே இந்த விதியைப் பயன்படுத்துங்கள்,
Appreciation,பாராட்டு,
Archived,காப்பகப்படுத்தியவை,
Arial,Arial,
Assign Condition,நிபந்தனை ஒதுக்க,
Assign To Users,பயனர்களுக்கு ஒதுக்குங்கள்,
Assigned,ஒதுக்கப்படும்,
Assigned By,அளிக்கப்பட்ட,
Assigned By Full Name,முழு பெயர் ஒதுக்கப்படுகின்றன,
Assignment,மதிப்பளித்தல்,
Assignment Completed,மதிப்பளித்தல் நிறைவு,
Assignment Days,ஒதுக்கீட்டு நாட்கள்,
Assignment Rule,ஒதுக்கீட்டு விதி,
Assignment Rule Day,பணி விதி நாள்,
Assignment Rule User,பணி விதி பயனர்,
Assignment Rules,ஒதுக்கீட்டு விதிகள்,
Assignments,பணிகள்,
Attach,இணைக்கவும்,
Attach Image,படத்தை இணைக்கவும்,
Attach Print,அச்சு இணைக்கவும்,
Attached File,இணைக்கப்பட்டுள்ள கோப்பு,
Attached To DocType,ஆவண வகை  இணைக்கப்பட்டுள்ளது,
Attached To Field,புலம் இணைக்கப்பட்டிருந்தது,
Attached To Name,பெயர் இணைக்கப்பட்டுள்ளது,
Attachment,இணைப்பு,
Attachment Limit (MB),இணைப்பு எல்லை (எம்பி),
Attachment Link,இணைப்பு இணைப்பு,
Attachment Removed,இணைப்பு நீக்கப்பட்ட,
Attachments,இணைப்புகள்,
