"""Company History""",&quot;ኩባንያ ታሪክ&quot;,
"""Team Members"" or ""Management""",&quot;ቡድን አባላት&quot; ወይም &quot;አስተዳደር&quot;,
&lt;head&gt; HTML,&lt;ራስ&gt; የኤች ቲ ኤም ኤል,
**Currency** Master,** ምንዛሬ ** መምህር,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - ረቂቅ; 1 - ገብቷል; 2 - ተሰርዟል,
0 is highest,0 ከፍተኛ ነው,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,የደንበኛ መተግበሪያ ተጠቃሚው የሚፈቅድ በኋላ መዳረሻ ይኖራቸዋል ይህም ሀብት ዝርዝር. <br> ለምሳሌ ፕሮጀክት,
A symbol for this currency. For e.g. $,ለዚህ ምንዛሬ ያመለክታል. ለምሳሌ $ ለ,
A4,A4,
ALL,ሁሉ,
API,ኤ ፒ አይ,
API Access,ኤፒአይ መዳረሻ,
API Endpoint,ኤፒአይ መጨረሻ ነጥብ,
API Endpoint Args,ኤፒአይ መጨረሻ ነጥብ Args,
API Key,የኤ ፒ አይ ቁልፍ,
API Method,የኤ.ፒ.አይ. ዘዴ,
API Secret,የኤ ፒ አይ ሚስጥር,
ASC,ASC,
About Us Settings,እኛ ቅንብሮች ስለ,
About Us Team Member,እኛ ቡድን አባል ስለ,
Access Key ID,የመዳረሻ መታወቂያ ይድረሱ,
Access Key Secret,የመዳረሻ ቁልፍ ሚስጥር,
Access Log,ምዝግብ ማስታወሻ,
Access Token,የመዳረሻ ማስመሰያ,
Access Token URL,የመድረሻ ተለዋጭ ስም URL,
Account,ሒሳብ,
Accounts Manager,መለያዎች አስተዳዳሪ,
Accounts User,የተጠቃሚ መለያዎች,
Action,እርምጃ,
Action / Route,እርምጃ / መንገድ,
Action Timeout (Seconds),የእርምጃ ቆይታ ጊዜ (ሰከንዶች),
Action Type,የድርጊት አይነት,
Actions,እርምጃዎች,
Active,ገቢር,
Active Domains,ንቁ ጎራዎች,
Activity Log,የእንቅስቃሴ ምዝግብ ማስታወሻ,
Add Container,መያዣ አክል,
Add Custom Tags,ብጁ መለያዎችን ያክሉ,
Add Gray Background,ግራጫ ዳራ አክል,
Add Signature,ፊርማ አክል,
Add Total Row,ጠቅላላ ረድፍ አክል,
Add Unsubscribe Link,ከደንበኝነት አገናኝ አክል,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","የ &lt;ራስ&gt; ውስጥ ታክሏል ኤችቲኤምኤል ድረ ገጽ ክፍል, በዋነኝነት ድር ማረጋገጫ እና ሲኢኦ ጥቅም ላይ",
Additional Permissions,ተጨማሪ ፍቃዶች,
Address,አድራሻ,
Address And Contacts,አድራሻ እና አድራሻዎች,
Address Line 1,አድራሻ መስመር 1,
Address Line 2,የአድራሻ መስመር 2,
Address Template,አድራሻ አብነት,
Address Title,አድራሻ ርዕስ,
Address Type,የአድራሻ አይነት,
Address and other legal information you may want to put in the footer.,አድራሻ እና ሌሎች ህጋዊ መረጃ ወደ ግርጌ ላይ ማስቀመጥ ይፈልጉ ይሆናል.,
Addresses And Contacts,አድራሻዎች እንዲሁም እውቂያዎች,
Adds a custom field to a DocType,አንድ DocType ወደ ብጁ መስክ ያክላል,
Administrator,አስተዳዳሪ,
Advanced,የላቀ,
Advanced Control,የላቀ መቆጣጠሪያ,
Advanced Settings,የላቁ ቅንብሮች ፡፡,
After Cancel,ከተሰረዘ በኋላ,
After Delete,ከተሰረዘ በኋላ,
After Save,ካስቀመጡ በኋላ,
After Save (Submitted Document),ካስቀመጡ በኋላ (ያስገቡት ሰነድ),
After Submit,ካስረከቡ በኋላ,
Aggregate Function Based On,ድምር ተግባር ላይ የተመሠረተ,
Alert,ማንቂያ,
Align Labels to the Right,መለያዎችን ወደ ቀኝ አስምር,
Align Right,በቀኝ አሰልፍ,
All,ሁሉም,
All Day,ሙሉ ቀን,
Allocated To,ወደ መድቧል,
Allot Points To Assigned Users,ለተመደቡ ተጠቃሚዎች የተሰጡ ነጥቦች,
Allow,ፍቀድ,
Allow Auto Repeat,ራስ-ድገም ፍቀድ።,
Allow Bulk Edit,የጅምላ አርትዕ ፍቀድ,
Allow Comments,አስተያየቶች ፍቀድ,
Allow Consecutive Login Attempts ,ተከታታይ መግቢያ ትግባሮችን ፍቀድ,
Allow Delete,ሰርዝ ፍቀድ,
Allow Dropbox Access,መሸወጃ መዳረሻ ፍቀድ,
Allow Guest,እንግዳ ይፍቀዱ,
Allow Guest to View,እንግዳ ይመልከቱ ፍቀድ,
Allow Guests to Upload Files,እንግዶች ፋይሎችን ለመስቀል ይፍቀዱ ፡፡,
Allow Import (via Data Import Tool),አስመጣ ፍቀድ (ውሂብ አስመጣ መሣሪያ በኩል),
Allow Incomplete Forms,ያልተሟላ ቅጾች ፍቀድ,
Allow Login After Fail,ከአደጋ በኋላ ፍቀድ,
Allow Login using Mobile Number,የመግቢያ ሞባይል ቁጥር መጠቀም ፍቀድ,
Allow Login using User Name,የተጠቃሚ ስም ተጠቅመው መግባት ይፍቀዱ,
Allow Modules,ሞጁሎችን ፍቀድ ፡፡,
Allow Print,አትም ፍቀድ,
Allow Print for Cancelled,ተሰርዟል ለ አትም ፍቀድ,
Allow Print for Draft,ረቂቅ ለ አትም ፍቀድ,
Allow Read On All Link Options,በሁሉም የአገናኝ አማራጮች ላይ እንዲነበቡ ፍቀድ,
Allow Rename,ይቀየር ፍቀድ,
Allow Roles,ሚናዎችን ፍቀድ,
Allow Self Approval,ራስን ማጽደቅ ፍቀድ,
Allow approval for creator of the document,ለሰነዱ ፈጣሪው መጽደቅን ይፍቀዱ,
Allow document creation via Email,በኢሜል በኩል የሰነድ መፍጠርን ይፍቀዱ,
Allow events in timeline,በጊዜ መስመር ላይ ያሉ ክስተቶችን ይፍቀዱ,
Allow in Quick Entry,በፈጣን መግቢያ ውስጥ ፍቀድ,
Allow on Submit,አስገባ ላይ ፍቀድ,
Allow only one session per user,ተጠቃሚ ብቻ ነው አንድ ክፍለ ጊዜ ፍቀድ,
Allow page break inside tables,ሰንጠረዦች ውስጥ ገጽ ከፋይ ፍቀድ,
Allow saving if mandatory fields are not filled,የግዴታ መስኮች ተሞልቶ አይደለም ከሆነ ማስቀመጥ ፍቀድ,
Allow user to login only after this hour (0-24),ተጠቃሚ ብቻ ከዚህ ሰዓት በኋላ መግባት (0-24) ፍቀድ,
Allow user to login only before this hour (0-24),ተጠቃሚ ብቻ በዚህ ሰዓት በፊት መግባት (0-24) ፍቀድ,
Allowed,ተፈቅዷል,
Allowed In Mentions,በአዕምሮዎች ውስጥ ተፈቅ .ል ፡፡,
"Always add ""Draft"" Heading for printing draft documents",ሁልጊዜ የሕትመት ረቂቅ ሰነዶች ርዕስ &quot;ረቂቅ&quot; ለማከል,
Amend,አስተካከለ,
Amended From,ከ እንደተሻሻለው,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico ቅጥያ ጋር አንድ አዶ ፋይል. 16 x 16 ፒክስል መሆን አለበት. አንድ የፋቪኮን ጄኔሬተር በመጠቀም የተፈጠረ. [Favicon-generator.org],
Analytics,ትንታኔ,
Annual,ዓመታዊ,
Anonymous,ስም የለሽ,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,በማንኛውም ሕብረ-ቁምፊ ላይ የተመሠረተ ማተሚያ ቋንቋዎችን መጠቀም ይቻላል። ጥሬ ትዕዛዞችን መፃፍ በአታሚው አምራች የቀረበውን የአታሚውን የአፍ መፍቻ ቋንቋ እውቀት ይጠይቃል ፡፡ የአገሬው ትዕዛዞችን እንዴት መፃፍ እንደሚችሉ በአታሚው አምራች የቀረበውን የገንቢ መመሪያን ይመልከቱ። እነዚህ ትዕዛዛት የጂጂጃን Templating ቋንቋ በመጠቀም በአገልጋዩ ወገን በኩል ተላልፈዋል።,
App,የመተግበሪያ,
App Access Key,የመተግበሪያ መዳረሻ ቁልፍ,
App Client ID,የመተግበሪያ የደንበኛ መታወቂያ,
App Client Secret,የመተግበሪያ የደንበኛ ሚስጥር,
App Name,የመተግበሪያ ስም,
App Secret Key,የመተግበሪያ ሚስጥር ቁልፍ,
Append Emails to Sent Folder,ኢሜሎችን ለተላከ አቃፊ ያያይዙ,
Append To,ወደ ጨምር,
Applicable For,ለ ተገቢነት,
Application Logo,የትግበራ አርማ,
Application Name,የትግበራ ስም,
Application Version,የትግበራ ስሪት,
Applied On,ተተግብሯል,
Apply Document Permissions,የሰነድ ፈቃዶችን ይተግብሩ,
Apply Only Once,አንድ ጊዜ ብቻ ይተግብሩ,
Apply Strict User Permissions,ጥብቅ የተጠቃሚ ፍቃዶችን ተግብር,
Apply To All Document Types,ለሁሉም የሰነድ ዓይነቶች ይተግብሩ።,
Apply this rule if the User is the Owner,የተጠቃሚ ባለቤት ከሆነ ይህን ህግ ተግብር,
Apply this rule only once per document,ይህንን ሰነድ በአንድ ሰነድ አንድ ጊዜ ብቻ ይተግብሩ,
Appreciation,አድናቆት ፡፡,
Archived,በማህደር,
Arial,አሪያል,
Assign Condition,ሁኔታን መድብ ፡፡,
Assign To Users,ለተጠቃሚዎች መድብ ፡፡,
Assigned,የተመደበ,
Assigned By,በ የተመደበው,
Assigned By Full Name,ሙሉ ስም በ ተመድቧል,
Assignment,የምደባ,
Assignment Completed,ተልእኮ ተጠናቋል,
Assignment Days,የምደባ ቀናት,
Assignment Rule,የምደባ ደንብ ፡፡,
Assignment Rule Day,የምደባ ደንብ ቀን,
Assignment Rule User,የምደባ ደንብ ተጠቃሚ።,
Assignment Rules,የምደባ ህጎች ፡፡,
Assignments,ምደባዎች,
Attach,አያይዝ,
Attach Image,ምስል ያያይዙ,
Attach Print,አትም ያያይዙ,
Attached File,ተያይ Fileል ፋይል,
Attached To DocType,DocType ወደ ተያይዟል,
Attached To Field,ወደ መስክ አያይዝ,
Attached To Name,ስም ወደ ተያይዟል,
Attachment,አባሪ,
Attachment Limit (MB),ዓባሪ ገደብ (ሜባ),
Attachment Link,አባሪ አገናኝ,
Attachment Removed,አባሪ ተወግዷል,
Attachments,አባሪዎች,
Auth URL Data,Auth URL ውሂብ,
Authentication,ማረጋገጫ,
Author,ደራሲ,
Authorization Code,ፈቀዳ ኮድ,
