"""Company History""",&quot;ក្រុមហ៊ុនប្រវត្តិសាស្រ្ត&quot;,
"""Team Members"" or ""Management""",&quot;សមាជិកក្រុម&quot; ឬ &quot;ការគ្រប់គ្រង&quot;,
&lt;head&gt; HTML,&lt;ក្បាល&gt; របស់ HTML,
**Currency** Master,** រូបិយប័ណ្ណ ** អនុបណ្ឌិត,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - សេចក្តីព្រាង; 1 - ការផ្តល់ជូន; 2 - បោះបង់,
0 is highest,0 គឺខ្ពស់បំផុត,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,បញ្ជីនៃធនធានដែលកម្មវិធីអតិថិជននឹងមានសិទ្ធិចូលដំណើរការទៅបន្ទាប់ពីអ្នកប្រើអនុញ្ញាតឱ្យវា។ <br> គម្រោងឧ,
A symbol for this currency. For e.g. $,ជានិមិត្តរូបសម្រាប់រូបិយប័ណ្ណនេះ។ ឧទាហរណ៍ៈ $,
A4,រថយន្ត A4,
ALL,ទាំងអស់,
API,API,
API Access,ការចូលប្រើ API,
API Endpoint,ចំណុចបញ្ចប់ API,
API Endpoint Args,ចំណុចបញ្ចប់របស់ API,
API Key,កូនសោ API,
API Method,វិធីសាស្ត្រ API,
API Secret,សម្ងាត់ API របស់,
ASC,ASC,
About Us Settings,អំពីយើងការកំណត់,
About Us Team Member,អំពីយើងក្រុមការងារជាសមាជិក,
Access Key ID,ចូលប្រើលេខសម្គាល់សោ,
Access Key Secret,ចូលដំណើរការកូនសោសម្ងាត់,
Access Log,កំណត់ហេតុចូលដំណើរការ។,
Access Token,ការចូលដំណើរការ Token,
Access Token URL,URL ផ្ទៀងផ្ទាត់ចូល,
Account,គណនី,
Accounts Manager,ការគ្រប់គ្រងគណនី,
Accounts User,គណនីអ្នកប្រើប្រាស់,
Action,សកម្មភាព,
Action / Route,សកម្មភាព / ផ្លូវ,
Action Timeout (Seconds),អស់ពេលសកម្មភាព (វិនាទី),
Action Type,ប្រភេទសកម្មភាព,
Actions,ការប្រព្រឹត្ដ,
Active,សកម្ម,
Active Domains,ដែនសកម្ម,
Activity Log,សកម្មភាពកំណត់ហេតុ,
Add Container,បន្ថែមកុងតឺន័រ,
Add Custom Tags,បន្ថែមស្លាកផ្ទាល់ខ្លួន,
Add Gray Background,បន្ថែមផ្ទៃខាងក្រោយប្រផេះ,
Add Signature,បន្ថែមហត្ថលេខា,
Add Total Row,បន្ថែមសរុបជួរដេក,
Add Unsubscribe Link,បន្ថែមឈប់ជាវតំណ,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML ដែលបានបន្ថែមនៅក្នុង &lt;ក្បាល&gt; ផ្នែកនៃទំព័រតំបន់បណ្ដាញ, ជាចម្បងដែលបានប្រើសម្រាប់ការផ្ទៀងផ្ទាត់វែបសាយនិង Seo",
Additional Permissions,សិទ្ធិបន្ថែម,
Address,អាសយដ្ឋាន,
Address And Contacts,អាសយដ្ឋាននិងទំនាក់ទំនង,
Address Line 1,អាសយដ្ឋានបន្ទាត់ 1,
Address Line 2,អាសយដ្ឋានបន្ទាត់ទី 2,
Address Template,អាសយដ្ឋានទំព័រគំរូ,
Address Title,អាសយដ្ឋានចំណងជើង,
Address Type,ប្រភេទអាសយដ្ឋាន,
Address and other legal information you may want to put in the footer.,អាសយដ្ឋាននិងពត៌មានច្បាប់ផ្សេងទៀតដែលអ្នកប្រហែលជាចង់ទៅដាក់នៅក្នុងបាតកថា។,
Addresses And Contacts,អាសយដ្ឋាននិងទំនាក់ទំនង,
Adds a custom field to a DocType,បន្ថែមវាលផ្ទាល់ខ្លួនមួយដើម្បីចង្អុលបង្ហាញមួយ,
Administrator,អ្នកគ្រប់គ្រង,
Advanced,កម្រិតខ្ពស់,
Advanced Control,ការត្រួតពិនិត្យកម្រិតខ្ពស់,
Advanced Settings,ការកំណត់កម្រិតខ្ពស់។,
After Cancel,បន្ទាប់ពីបោះបង់,
After Delete,បន្ទាប់ពីលុប,
After Save,បន្ទាប់ពីរក្សាទុក,
After Save (Submitted Document),បន្ទាប់ពីរក្សាទុក (ឯកសារបញ្ជូន),
After Submit,បន្ទាប់ពីដាក់ស្នើ,
Aggregate Function Based On,មុខងារសរុបផ្អែកលើ,
Alert,ដាស់តឿន,
Align Labels to the Right,តម្រៀបស្លាកទៅស្តាំ,
Align Right,តម្រឹមស្តាំ,
All,ទាំងអស់,
All Day,ថ្ងៃទាំងអស់,
Allocated To,បម្រុងទុកសម្រាប់,
Allot Points To Assigned Users,ពិន្ទុទាំងអស់ដើម្បីចាត់តាំងអ្នកប្រើប្រាស់។,
Allow,អនុញ្ញាត,
Allow Auto Repeat,អនុញ្ញាតឱ្យធ្វើម្តងទៀតដោយស្វ័យប្រវត្តិ។,
Allow Bulk Edit,អនុញ្ញាតការកែសម្រួលជាដុំ,
Allow Comments,អនុញ្ញាតឱ្យយោបល់,
Allow Consecutive Login Attempts ,អនុញ្ញាតឱ្យព្យាយាមចូលតៗគ្នា,
Allow Delete,អនុញ្ញាតការលុប,
Allow Dropbox Access,អនុញ្ញាតឱ្យចូលដំណើរការ Dropbox,
Allow Guest,អនុញ្ញាតឱ្យភ្ញៀវ,
Allow Guest to View,អនុញ្ញាតឱ្យភ្ញៀវដើម្បីមើល,
Allow Guests to Upload Files,អនុញ្ញាតឱ្យភ្ញៀវផ្ទុកឯកសារឡើង។,
Allow Import (via Data Import Tool),អនុញ្ញាតឱ្យនាំចូល (តាមរយៈទិន្នន័យឧបករណ៍នាំចូល),
Allow Incomplete Forms,អនុញ្ញាតឱ្យសំណុំបែបបទមិនពេញលេញ,
Allow Login After Fail,អនុញ្ញាតការចូលបន្ទាប់ពីបរាជ័យ,
Allow Login using Mobile Number,អនុញ្ញាតការចូលដោយប្រើលេខទូរស័ព្ទដៃ,
Allow Login using User Name,អនុញ្ញាតការចូលប្រើឈ្មោះអ្នកប្រើប្រាស់,
Allow Modules,អនុញ្ញាតម៉ូឌុល។,
Allow Print,អនុញ្ញាតឱ្យបោះពុម្ព,
Allow Print for Cancelled,អនុញ្ញាតឱ្យបោះពុម្ពសម្រាប់ការលុបចោល,
Allow Print for Draft,អនុញ្ញាតឱ្យបោះពុម្ពសម្រាប់សេចក្តីព្រាង,
Allow Read On All Link Options,អនុញ្ញាតឱ្យអាននៅលើជម្រើសតំណទាំងអស់,
Allow Rename,អនុញ្ញាតឱ្យមានការប្តូរឈ្មោះ,
Allow Roles,អនុញ្ញាតឱ្យតួនាទី,
Allow Self Approval,អនុញ្ញាតិឱ្យខ្លួនឯងយល់ព្រម,
Allow approval for creator of the document,អនុញ្ញាតការអនុម័តសម្រាប់អ្នកបង្កើតឯកសារ,
Allow document creation via Email,អនុញ្ញាតឱ្យបង្កើតឯកសារតាមរយៈអ៊ីម៉ែល,
Allow events in timeline,អនុញ្ញាតឱ្យព្រឹត្តិការណ៍ក្នុងបន្ទាត់ពេលវេលា,
Allow in Quick Entry,អនុញ្ញាតក្នុងការចូលរហ័ស,
Allow on Submit,អនុញ្ញាតឱ្យនៅលើដាក់ស្នើ,
Allow only one session per user,អនុញ្ញាតឱ្យបានតែមួយសម័យអ្នកប្រើ,
Allow page break inside tables,អនុញ្ញាតការបំបែកទំព័រនៅក្នុងតារាង,
Allow saving if mandatory fields are not filled,អនុញ្ញាតឱ្យមានការរក្សាទុកប្រសិនបើវាលដែលចាំបាច់មិនត្រូវបានបំពេញ,
Allow user to login only after this hour (0-24),អនុញ្ញាតឱ្យអ្នកប្រើដើម្បីចូលតែប៉ុណ្ណោះបន្ទាប់ពីម៉ោងនេះ (0-24),
Allow user to login only before this hour (0-24),អនុញ្ញាតឱ្យអ្នកប្រើដើម្បីចូលតែមុនពេលម៉ោងនេះ (0-24),
Allowed,ត្រូវបានអនុញ្ញាត,
Allowed In Mentions,អនុញ្ញាតក្នុងការនិយាយ។,
"Always add ""Draft"" Heading for printing draft documents",តែងតែបន្ថែម &quot;សេចក្តីព្រាង&quot; ក្បាលសេចក្តីព្រាងបោះពុម្ពសម្រាប់ឯកសារ,
Amend,វិសោធនកម្ម,
Amended From,ធ្វើវិសោធនកម្មពី,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],ឯកសាររូបតំណាងជាមួយផ្នែកបន្ថែម .ico ។ គួរជា 16 x 16 ភិចសែល។ បង្កើតដោយប្រើម៉ាស៊ីនភ្លើងឱ្យរូបតំណាងសំណព្វមួយ។ [favicon-generator.org],
Analytics,វិធីវិភាគ,
Annual,ប្រចាំឆ្នាំ,
Anonymous,អនាមិក,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,ភាសាព្រីនដែលផ្អែកលើខ្សែអក្សរណាមួយអាចត្រូវបានប្រើ។ ការសរសេរពាក្យបញ្ជាឆៅទាមទារចំណេះដឹងអំពីភាសាកំណើតរបស់ព្រីនធ័រដែលផ្តល់ដោយក្រុមហ៊ុនផលិតព្រីនធ័រ។ សូមមើលសៀវភៅដៃអ្នកអភិវឌ្ឍន៍ដែលផ្តល់ដោយក្រុមហ៊ុនផលិតព្រីនធ័រអំពីរបៀបសរសេរពាក្យបញ្ជាកំណើតរបស់ពួកគេ។ ពាក្យបញ្ជាទាំងនេះត្រូវបានបង្ហាញនៅផ្នែកខាងម៉ាស៊ីនមេដោយប្រើភាសា Templating Jinja ។,
App,កម្មវិធី,
App Access Key,ការចូលដំណើរការកម្មវិធីគន្លឹះ,
App Client ID,លេខសម្គាល់កម្មវិធីម៉ាស៊ីនភ្ញៀវ,
App Client Secret,កម្មវិធីម៉ាស៊ីនភ្ញៀវសម្ងាត់,
App Name,ឈ្មោះកម្មវិធី,
App Secret Key,កម្មវិធីកូនសោសម្ងាត់,
Append Emails to Sent Folder,បន្ថែមអ៊ីមែលទៅថតឯកសារដែលបានផ្ញើ,
Append To,បន្ថែមទៅខាងចុង,
Applicable For,កម្មវិធីសម្រាប់,
Application Logo,និមិត្តសញ្ញាពាក្យសុំ,
Application Name,ឈ្មោះពាក្យសុំ,
Application Version,កំណែពាក្យសុំ,
Applied On,អនុវត្តលើ,
Apply Document Permissions,អនុវត្តការអនុញ្ញាតឯកសារ,
Apply Only Once,ដាក់ពាក្យសុំតែម្ដង,
Apply Strict User Permissions,អនុវត្តសិទ្ធិរបស់អ្នកប្រើយ៉ាងតឹងរឹង,
Apply To All Document Types,អនុវត្តចំពោះប្រភេទឯកសារទាំងអស់។,
Apply this rule if the User is the Owner,អនុវត្តក្បួននេះបើអ្នកប្រើត្រូវបានម្ចាស់,
Apply this rule only once per document,អនុវត្តច្បាប់នេះតែម្តងគត់ក្នុងមួយឯកសារ,
Appreciation,ការកោតសរសើរ,
Archived,ទុកក្នុងប័ណ្ណសារ,
Arial,Arial,
Assign Condition,កំណត់លក្ខខណ្ឌ។,
Assign To Users,ចាត់ចែងឱ្យអ្នកប្រើប្រាស់។,
Assigned,ដែលបានផ្ដល់,
Assigned By,ដែលបានផ្ដល់ដោយ,
Assigned By Full Name,បានផ្ដល់ដោយឈ្មោះពេញ,
Assignment,ការចាត់តាំង,
Assignment Completed,កិច្ចការបានបញ្ចប់,
Assignment Days,ថ្ងៃចាត់តាំង,
Assignment Rule,វិធានចាត់តាំង។,
Assignment Rule Day,ថ្ងៃចាត់វិធានការណ៍,
Assignment Rule User,អ្នកប្រើវិធានចាត់តាំង។,
Assignment Rules,វិធានចាត់តាំង។,
Assignments,កិច្ចការ,
Attach,ភ្ជាប់,
Attach Image,ភ្ជាប់រូបភាព,
Attach Print,ភ្ជាប់បោះពុម្ព,
Attached File,ឯកសារភ្ជាប់,
Attached To DocType,ភ្ជាប់ដើម្បីចង្អុលបង្ហាញ,
Attached To Field,បានភ្ជាប់ទៅវាល,
Attached To Name,ភ្ជាប់ទៅនឹងឈ្មោះ,
Attachment,ឯកសារភ្ជាប់,
Attachment Limit (MB),ដែនកំណត់ឯកសារភ្ជាប់ (មេកាបៃ),
Attachment Link,ភ្ជាប់ឯកសារភ្ជាប់,
Attachment Removed,ឯកសារភ្ជាប់ដែលបានយកចេញ,
Attachments,ឯកសារភ្ជាប់,
Auth URL Data,ទិន្នន័យ Auth URL,
Authentication,ការផ្ទៀងផ្ទាត់ភាពត្រឹមត្រូវ,
Author,អ្នកនិពន្ធ,
Authorization Code,កូដអនុញ្ញាត,
Authorize API Indexing  Access,អនុញ្ញាតការចូលប្រើការធ្វើលិបិក្រម API,
Authorize Google Calendar Access,ផ្តល់សិទ្ធិចូលប្រើប្រតិទិន Google ។,
Authorize Google Contacts Access,ផ្តល់សិទ្ធិចូលប្រើទំនាក់ទំនង Google ។,
Authorize Google Drive Access,ផ្តល់សិទ្ធិចូលប្រើថាសហ្គូហ្គល។,
Authorize URL,អនុញ្ញាត URL,
Authorized,បានអនុញ្ញាត,
Auto,ដោយស្វ័យប្រវត្តិ,
Auto Email Report,របាយការណ៍អ៊ីមែលដោយស្វ័យប្រវត្តិ,
Auto Name,ឈ្មោះដោយស្វ័យប្រវត្តិ,
Auto Repeat,ធ្វើម្តងទៀតដោយស្វ័យប្រវត្តិ,
Auto Reply Message,សារឆ្លើយតបដោយស្វ័យប្រវត្តិ,
Automatically Assign Documents to Users,ផ្តល់ឯកសារដោយស្វ័យប្រវត្តិដល់អ្នកប្រើប្រាស់។,
Automation,ស្វ័យប្រវត្តិកម្ម។,
Avatar,Avatar,
Average,មធ្យម។,
Awaiting Password,កំពុងរង់ចាំពាក្យសម្ងាត់,
Awaiting password,រង់ចាំការពាក្យសម្ងាត់,
BCC,BCC,
Background Color,ពណ៌ផ្ទៃខាងក្រោយ,
Background Workers,កម្មករផ្ទៃខាងក្រោយ,
Backup Details,ព័ត៌មានលម្អិតបម្រុងទុក,
Backup Files,ឯកសារបម្រុងទុក,
Backup Folder ID,លេខសម្គាល់ថតឯកសារបម្រុងទុក។,
Backup Folder Name,ឈ្មោះថតឯកសារបម្រុងទុក។,
Backup Frequency,ភពញឹកញប់បម្រុងទុក,
Backup public and private files along with the database.,បម្រុងទុកឯកសារសាធារណៈនិងឯកជនរួមជាមួយឃ្លាំងទិន្នន័យ។,
Backups,ការបម្រុងទុក,
Banner,បដា,
Banner HTML,បដារបស់ HTML,
Banner Image,រូបភាពបដា,
Banner is above the Top Menu Bar.,បដាខាងលើគឺជារបារម៉ឺនុយខាងលើ។,
Bar,បារ។,
Barcode,បាកូដ,
Base Distinguished Name (DN),មូលដ្ឋានឈ្មោះកិត្តិយស (DN),
Base URL,URL មូលដ្ឋាន,
Based On,ដោយផ្អែកលើការ,
Based on Field,ផ្អែកលើវាល,
Based on Permissions For User,ដោយផ្អែកលើសិទ្ធិសម្រាប់អ្នកប្រើ,
Basic,ជាមូលដ្ឋាន,
Before Cancel,មុននឹងបោះបង់,
Before Delete,មុនពេលលុប,
Before Insert,មុនពេលបញ្ចូល,
Before Save,មុនពេលរក្សាទុក,
Before Save (Submitted Document),មុនពេលរក្សាទុក (ឯកសារដែលបានបញ្ជូន),
Before Submit,មុននឹងដាក់ស្នើ,
Beginner,ចាប់ផ្តើម,
Beta,បេតា,
Billing,វិក័យប័ត្រ,
Bio,ជីវប្រវត្តិ,
Birth Date,ថ្ងៃខែឆ្នាំកំណើត,
Block Module,ម៉ូឌុលប្លុក,
Block Modules,ម៉ូឌុលប្លុក,
