"""Company History""",&quot;ປະຫວັດສາດຂອງບໍລິສັດ&quot;,
"""Team Members"" or ""Management""",&quot;ສະພາ&quot; ຫຼື &quot;ການຈັດການ&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** ສະກຸນເງິນ ** ລິນຍາໂທ,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - ຮ່າງ; 1 - ສົ່ງ; 2 - ຍົກເລີກ,
0 is highest,0 ແມ່ນສູງທີ່ສຸດ,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,ບັນຊີລາຍຊື່ຂອງຊັບພະຍາກອນ A ທີ່ App Client ຈະມີການເຂົ້າເຖິງພາຍຫຼັງທີ່ຜູ້ໃຊ້ອະນຸຍາດໃຫ້ມັນ. <br> ຕົວຢ່າງໂຄງການ,
A symbol for this currency. For e.g. $,ເປັນສັນຍາລັກສໍາລັບການສະກຸນເງິນນີ້. ສໍາລັບຕົວຢ່າງ: $,
A4,A4,
ALL,ທັງຫມົດ,
API,API,
API Access,ການເຂົ້າເຖິງ API,
API Endpoint,Endpoint API,
API Endpoint Args,API Endpoint Args,
API Key,Key API,
API Method,ວິທີການ API,
API Secret,API Secret,
ASC,ASC,
About Us Settings,ກ່ຽວກັບພວກເຮົາການຕັ້ງຄ່າ,
About Us Team Member,ກ່ຽວກັບພວກເຮົາທີມງານ Member,
Access Key ID,Access Key ID,
Access Key Secret,ເຂົ້າລະຫັດລັບ,
Access Log,ເຂົ້າໃຊ້ Log Log,
Access Token,ການເຂົ້າເຖິງ Token,
Access Token URL,Access Token URL,
Account,ບັນຊີ,
Accounts Manager,ຄຸ້ມຄອງບັນຊີ,
Accounts User,ບັນຊີຜູ້ໃຊ້,
Action,ການປະຕິບັດ,
Action / Route,ການປະຕິບັດງານ / ເສັ້ນທາງ,
Action Timeout (Seconds),ເວລາປະຕິບັດງານ (ວິນາທີ),
Action Type,ປະເພດການປະຕິບັດງານ,
Actions,ການກະທໍາ,
Active,ການເຄື່ອນໄຫວ,
Active Domains,Domains Active,
Activity Log,ກິດຈະກໍາເຂົ້າສູ່ລະບົບ,
Add Container,ຕື່ມພາຊະນະ,
Add Custom Tags,ເພີ່ມປ້າຍ ກຳ ກັບເອງ,
Add Gray Background,ເພີ່ມພື້ນຫລັງສີເທົາ,
Add Signature,ເພີ່ມລາຍເຊັນ,
Add Total Row,ເພີ່ມທັງຫມົດຕິດຕໍ່ກັນ,
