"""Company History""",&quot;कंपनी इतिहास&quot;,
"""Team Members"" or ""Management""",&quot;टीम सदस्य&quot; किंवा &quot;व्यवस्थापन&quot;,
&lt;head&gt; HTML,&lt;head&gt; एचटीएमएल,
**Currency** Master,** चलन ** मास्टर,
0 - Draft; 1 - Submitted; 2 - Cancelled,० - मसुदा; १ - सादर; २ - रद्द,
0 is highest,० हा सर्वाधिक आहे,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,क्लायंट अनुप्रयोग वापरकर्ता परवानगी नंतर प्रवेश असेल संसाधने यादी. <br> उदा प्रकल्प,
A symbol for this currency. For e.g. $,या चलनासाठी एक चिन्ह. उदा. ₹,
A4,ए 4,
ALL,सर्व,
API,API,
API Access,एपीआय प्रवेश,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,एपीआय किल्ली,
API Method,एपीआय पद्धत,
API Secret,एपीआय गुपित,
ASC,ASC,
About Us Settings,आमच्या सेटिंग्ज बद्दल,
About Us Team Member,आमच्या टीम मेंबर विषयी,
Access Key ID,प्रवेश आयडी,
Access Key Secret,की गुपित प्रवेश,
Access Log,प्रवेश लॉग,
Access Token,प्रवेश टोकन,
Access Token URL,प्रवेश टोकन URL,
Account,खाते,
Accounts Manager,खाते व्यवस्थापक,
Accounts User,वापरकर्ता खाती,
Action,क्रिया,
Action / Route,क्रिया / मार्ग,
Action Timeout (Seconds),कार्य कालबाह्य (सेकंद),
Action Type,क्रिया प्रकार,
Actions,क्रिया,
Active,सक्रिय,
Active Domains,सक्रिय डोमेन,
Activity Log,क्रियाकलाप लॉग,
Add Container,कंटेनर जोडा,
Add Custom Tags,सानुकूल टॅग्ज जोडा,
Add Gray Background,ग्रे पार्श्वभूमी जोडा,
Add Signature,स्वाक्षरी जोडा,
Add Total Row,एकूण पंक्ती जोडा,
Add Unsubscribe Link,सदस्यता रद्द करण्याचा दुवा जोडा,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","वेब पृष्ठ च्या  विभागमध्ये HTML जोडले, प्रामुख्याने वेबसाइट सत्यापन आणि SEO साठी  वापरले",
Additional Permissions,अतिरिक्त परवानग्या,
Address,पत्ता,
Address And Contacts,पत्ता आणि संपर्क,
Address Line 1,पत्ता ओळ 1,
Address Line 2,पत्ता ओळ 2,
Address Template,पत्ता साचा,
Address Title,पत्ता शीर्षक,
Address Type,पत्ता प्रकार,
Address and other legal information you may want to put in the footer.,पत्ता आणि इतर कायदेशीर माहिती तुम्हाला तळटीप मध्ये ठेवले करू शकता.,
Addresses And Contacts,पत्ते आणि संपर्क,
Adds a custom field to a DocType,एक DocType एक सानुकूल फील्ड जोडते,
Administrator,प्रशासक,
Advanced,प्रगत,
Advanced Control,प्रगत नियंत्रण,
Advanced Settings,प्रगत सेटिंग्ज,
After Cancel,रद्द केल्यानंतर,
After Delete,हटवा नंतर,
After Save,सेव्ह नंतर,
After Save (Submitted Document),सेव्ह नंतर (सबमिट केलेले कागदपत्र),
After Submit,सबमिट केल्यानंतर,
Aggregate Function Based On,एकत्रीत कार्य आधारित,
Alert,सतर्क,
Align Labels to the Right,लेबले उजवीकडील संरेखित करा,
Align Right,उजवीकडे संरेखित करा,
All,सर्व,
All Day,सर्व दिवस,
Allocated To,वाटप,
Allot Points To Assigned Users,असाइन केलेल्या वापरकर्त्यांना गुण द्या,
Allow,परवानगी द्या,
Allow Auto Repeat,स्वयं पुनरावृत्तीस अनुमती द्या,
Allow Bulk Edit,मोठ्या प्रमाणात संपादित करा परवानगी द्या,
Allow Comments,टिप्पणी परवानगी द्या,
Allow Consecutive Login Attempts ,सक्तीचे लॉगिन प्रयत्नांना अनुमती द्या,
Allow Delete,हटवा परवानगी द्या,
Allow Dropbox Access,ड्रॉपबॉक्स प्रवेश परवानगी द्या,
Allow Guest,अतिथीस परवानगी द्या,
Allow Guest to View,अतिथी पहा परवानगी द्या,
Allow Guests to Upload Files,अतिथींना फायली अपलोड करण्याची परवानगी द्या,
Allow Import (via Data Import Tool),आयात परवानगी द्या (डेटा आयात करा साधन द्वारे),
Allow Incomplete Forms,अपूर्ण फॉर्म परवानगी द्या,
Allow Login After Fail,अयशस्वी झाल्यानंतर लॉगिन परवानगी द्या,
Allow Login using Mobile Number,मोबाइल क्रमांक वापरून लॉगिन करा परवानगी द्या,
Allow Login using User Name,युजरनेम वापरुन प्रवेश परवानगी द्या,
Allow Modules,विभागांना परवानगी द्या,
Allow Print,प्रिंट परवानगी द्या,
Allow Print for Cancelled,रद्द रताच ि ंट करा परवानगी द्या,
Allow Print for Draft,मसुदा रताच ि ंट करा परवानगी द्या,
Allow Read On All Link Options,सर्व लिंक पर्यायांवर वाचा,
Allow Rename,नाव बदला परवानगी द्या,
Allow Roles,भूमिका परवानगी द्या,
Allow Self Approval,स्वत: मंजुर परवानगी द्या,
Allow approval for creator of the document,दस्तऐवजाच्या निर्मात्यास मंजूरी द्या,
Allow document creation via Email,ईमेलद्वारे दस्तऐवज तयार करण्यास परवानगी द्या,
Allow events in timeline,टाइमलाइनमधील कार्यक्रमांना अनुमती द्या,
Allow in Quick Entry,जलद प्रविष्टीमध्ये परवानगी द्या,
Allow on Submit,सबमिट परवानगी द्या,
Allow only one session per user,प्रति वापरकर्ता फक्त एक सत्र परवानगी द्या,
Allow page break inside tables,सपाट दगडी पाट्या आत पृष्ठ खंड परवानगी द्या,
Allow saving if mandatory fields are not filled,अनिवार्य रकाने भरावे नाही तर बचत परवानगी द्या,
Allow user to login only after this hour (0-24),वापरकर्ता केवळ या तास नंतर लॉग इन करण्यासाठी (0-24) अनुमती द्या,
Allow user to login only before this hour (0-24),वापरकर्ता केवळ या तास आधी लॉग इन करण्यासाठी (0-24) अनुमती द्या,
Allowed,परवानगी,
Allowed In Mentions,अनुमत मध्ये उल्लेख,
"Always add ""Draft"" Heading for printing draft documents",छपाई मसुदा मथळ्याची नेहमी &quot;मसुदा&quot; जोडा,
Amend,दुरुस्ती,
Amended From,पासून दुरुस्ती,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico विस्तारासह प्रतीक फाइल .  16 x 16 px पाहिजे. एक फेविकॉन वीज वापरने  निर्माण झाला. [ Favicon-generator.org ],
Analytics,विश्लेषण,
Annual,वार्षिक,
Anonymous,अनामिक,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,कोणत्याही स्ट्रिंग-आधारित प्रिंटर भाषा वापरल्या जाऊ शकतात. कच्चे आदेश लिहिण्यासाठी प्रिंटर निर्मात्याने प्रदान केलेल्या प्रिंटरच्या मूळ भाषेचे ज्ञान आवश्यक आहे. कृपया प्रिंटर निर्मात्याने त्यांच्या मूळ आज्ञा कशा लिहाव्या यासाठी प्रदान केलेल्या विकसक मॅन्युअलचा संदर्भ घ्या. जिन्जा टेम्पलेटिंग भाषा वापरुन या कमांड्स सर्व्हरच्या बाजूला दिल्या जातात.,
App,अनुप्रयोग,
App Access Key,अनुप्रयोग प्रवेश की,
App Client ID,अनुप्रयोग क्लायंट ID,
App Client Secret,अनुप्रयोग क्लायंट गुपित,
App Name,अनुप्रयोग नाव,
App Secret Key,अनुप्रयोग गुप्त की,
Append Emails to Sent Folder,पाठवलेल्या फोल्डरमध्ये ईमेल जोडा,
Append To,करण्यासाठी जोडा,
Applicable For,लागू,
Application Logo,अनुप्रयोग लोगो,
Application Name,अर्ज नाव,
Application Version,अनुप्रयोग आवृत्ती,
Applied On,वर अर्ज केला,
Apply Document Permissions,दस्तऐवज परवानग्या लागू करा,
Apply Only Once,एकदाच अर्ज करा,
Apply Strict User Permissions,कठोर वापरकर्ता परवानग्या लागू करा,
Apply To All Document Types,सर्व दस्तऐवज प्रकारांवर अर्ज करा,
Apply this rule if the User is the Owner,सदस्य मालक असेल तर हा नियम लागू करा,
Apply this rule only once per document,प्रति नियम एकदाच हा नियम लागू करा,
Appreciation,कौतुक,
Archived,संग्रहित,
Arial,एरियल,
Assign Condition,अट असाइन करा,
Assign To Users,वापरकर्त्यांना असाइन करा,
Assigned,नियुक्त,
Assigned By,द्वारे नियुक्त,
Assigned By Full Name,पूर्ण नाव नियुक्त,
Assignment,नेमणूक,
Assignment Completed,नेमणूक पूर्ण,
Assignment Days,असाइनमेंट डे,
Assignment Rule,असाइनमेंट नियम,
Assignment Rule Day,असाइनमेंट नियम दिन,
Assignment Rule User,असाइनमेंट नियम वापरकर्ता,
Assignment Rules,असाइनमेंट नियम,
Assignments,असाइनमेंट्स,
Attach,संलग्न करा,
Attach Image,प्रतिमा संलग्न,
Attach Print,प्रिंट संलग्न,
Attached File,संलग्न फाइल,
Attached To DocType,DocType संलग्न,
Attached To Field,फील्डशी संलग्न,
Attached To Name,नाव संलग्न,
Attachment,संलग्नक,
Attachment Limit (MB),संलग्नक मर्यादा (एमबी),
Attachment Link,संलग्नक दुवा,
Attachment Removed,संलग्नक काढले,
Attachments,संलग्नक,
Auth URL Data,ऑथ यूआरएल डेटा,
Authentication,प्रमाणीकरण,
Author,लेखक,
Authorization Code,प्राधिकृत करणे कोड,
Authorize API Indexing  Access,API अनुक्रमणिक प्रवेश अधिकृत करा,
Authorize Google Calendar Access,Google कॅलेंडर प्रवेश अधिकृत करा,
Authorize Google Contacts Access,Google संपर्क प्रवेश अधिकृत करा,
Authorize Google Drive Access,Google ड्राइव्ह प्रवेश अधिकृत करा,
Authorize URL,अधिकृत URL,
Authorized,अधिकृत,
Auto,ऑटो,
Auto Email Report,ऑटो ईमेल अहवाल,
Auto Name,ऑटो नाव,
Auto Repeat,ऑटो पुनरावृत्ती,
Auto Reply Message,ऑटो प्रत्युत्तर संदेश,
Automatically Assign Documents to Users,वापरकर्त्यांना स्वयंचलितपणे कागदपत्रे द्या,
Automation,ऑटोमेशन,
Avatar,अवतार,
Average,सरासरी,
Awaiting Password,पासवर्डची वाट पहात आहे,
Awaiting password,पासवर्डची वाट पहात आहे,
BCC,बीसीसी,
Background Color,पार्श्वभूमी रंग,
Background Workers,पार्श्वभूमी कामगार,
Backup Details,बॅकअप तपशील,
Backup Files,बॅकअप फायली,
Backup Folder ID,बॅकअप फोल्डर आयडी,
Backup Folder Name,बॅकअप फोल्डर नाव,
Backup Frequency,बॅकअप वारंवारता,
Backup public and private files along with the database.,डेटाबेससह सार्वजनिक आणि खाजगी फायलींचा बॅकअप घ्या.,
Backups,बॅकअप,
Banner,बॅनर,
Banner HTML,बॅनर HTML,
Banner Image,बॅनर प्रतिमा,
Banner is above the Top Menu Bar.,बॅनर शीर्ष मेनू बार वर आहे.,
Bar,बार,
Barcode,बारकोड,
Base Distinguished Name (DN),बेस प्रतिष्ठीत नाव (एन),
