"""Company History""",&quot;Kompaniya tarixi&quot;,
"""Team Members"" or ""Management""",&quot;Jamoa a&#39;zolari&quot; yoki &quot;Menejment&quot;,
&lt;head&gt; HTML,&lt;bosh&gt; HTML,
**Currency** Master,** Valyuta ** Magistr,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - loyiha; 1 - taqdim etilgan; 2 - Bekor qilindi,
0 is highest,0 eng yuqori,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Mijozlar ilovasi foydalanuvchi ruxsat berganidan keyin unga kirish imkoniyatiga ega bo'lgan resurslar ro'yxati. <br> masalan, loyiha",
A symbol for this currency. For e.g. $,"Ushbu valyutaning ramzi. Masalan, $",
A4,A4,
ALL,Hammasi,
API,API,
API Access,API kirish,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,API kaliti,
API Method,API usuli,
API Secret,API maxfiyligi,
ASC,ASC,
About Us Settings,Biz haqimizda Sozlamalar,
About Us Team Member,Biz haqimizda jamoa a&#39;zosi,
Access Key ID,Kalit ID raqami,
Access Key Secret,Kalit sirga kirish,
Access Log,Kirish jurnali,
Access Token,Kirish tokeni,
Access Token URL,To&#39;xan URL manziliga kirish,
Account,Hisob,
Accounts Manager,Hisob menejeri,
Accounts User,Hisoblar foydalanuvchisi,
Action,Harakat,
Action / Route,Amal / marshrut,
Action Timeout (Seconds),Vaqt tugashi (soniya),
Action Type,Harakat turi,
Actions,Amallar,
Active,Faol,
Active Domains,Faol domenlar,
Activity Log,Faoliyat jurnali,
Add Container,Konteyner qo&#39;shing,
Add Custom Tags,Maxsus teglar qo&#39;shing,
Add Gray Background,Kulrang fon qo&#39;shish,
Add Signature,Imzo qo&#39;shing,
Add Total Row,Umumiy satr qo&#39;shish,
Add Unsubscribe Link,Obunani bekor qilish havolasini qo&#39;shish,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",Veb-sahifaning &lt;bosh&gt; qismida HTMLni birinchi navbatda veb-saytni tekshirish va SEO uchun ishlatilgan,
Additional Permissions,Qo&#39;shimcha ruxsatlar,
Address,Manzil,
Address And Contacts,Manzil va aloqa,
Address Line 1,Manzil uchun 1-chi qator,
Address Line 2,Manzil yo&#39;nalish 2,
Address Template,Manzil shablonni,
Address Title,Manzil sarlavhasi,
Address Type,Manzil turi,
Address and other legal information you may want to put in the footer.,Unvon va boshqa huquqiy ma&#39;lumotlar quyida joylashgan formani qo&#39;yish mumkin.,
Addresses And Contacts,Manzillar va kontaktlar,
Adds a custom field to a DocType,DocType-ga maxsus maydon qo&#39;shiladi,
Administrator,Administrator,
Advanced,Murakkab,
Advanced Control,Murakkab boshqaruv,
Advanced Settings,Kengaytirilgan sozlamalar,
After Cancel,Bekor qilishdan keyin,
After Delete,Yo&#39;q qilgandan keyin,
After Save,Saqlashdan keyin,
After Save (Submitted Document),Saqlashdan keyin (Topshirilgan hujjat),
After Submit,Yuborgandan keyin,
Aggregate Function Based On,Umumiy funktsiyaga asoslangan,
Alert,Ogohlantirish,
Align Labels to the Right,Yorliqlarni o&#39;ngga tekislang,
Align Right,To&#39;g&#39;ri tekislang,
All,HAMMA,
All Day,Butun kun,
Allocated To,Ajratildi,
Allot Points To Assigned Users,Belgilangan foydalanuvchilarga ajratish,
Allow,Ruxsat ber,
Allow Auto Repeat,Avtomatik takrorlashga ruxsat berish,
