"""Company History""","""Cégtörténet""",
"""Team Members"" or ""Management""","""Csapat tagok"" vagy ""Vezetőség""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Valuta ** mester,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Vázlat; 1 - Elküldve; 2 - Törölve,
0 is highest,0 a legnagyobb,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"A listát a forrásokat, amelyeket az Ügyfél App férhet hozzá, miután a felhasználó ezt lehetővé teszi. <br> pl projekt",
A symbol for this currency. For e.g. $,A szimbólum erre a pénznemre. Pl.: $$,
A4,A4,
ALL,ÖSSZES,
API,API,
API Access,API-hozzáférés,
API Endpoint,API végpont,
API Endpoint Args,API végpont érv,
API Key,API kulcs,
API Method,API módszer,
API Secret,API titkosítás,
ASC,ASC,
About Us Settings,Rólunk beállítások,
About Us Team Member,Rólunk Csapat tagja,
Access Key ID,Hozzáférési kulcs ID,
Access Key Secret,Hozzáférés kulcstitkához,
Access Log,Belépési napló,
Access Token,Hozzáférési token,
Access Token URL,Hozzáférési token URL,
Account,számla,
Accounts Manager,Fiókkezelõ,
Accounts User,Számlák felhasználó,
Action,Művelet,
Action / Route,Művelet / Útvonal,
Action Timeout (Seconds),Akció időtúllépés (másodperc),
Action Type,Művelet típusa,
Actions,Műveletek,
Active,Aktív,
Active Domains,Aktív domainek,
Activity Log,Tevékenység napló,
Add Container,Tároló hozzáadása,
Add Custom Tags,Egyéni címkék hozzáadása,
Add Gray Background,Szürke háttér hozzáadása,
Add Signature,Aláírás hozzáadása,
Add Total Row,Összesítő sor hozzáadása,
Add Unsubscribe Link,Leiratkozási link hozzáadása,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Hozzáadott HTML a fejléc részben a weboldalon, amit elsősorban a weboldal ellenőrzésére és SEO használja",
Additional Permissions,További jogosultságok,
Address,Cím,
Address And Contacts,Cím és kapcsolattartók,
Address Line 1,1. cím sor,
Address Line 2,2. cím sor,
Address Template,Címlista sablon,
Address Title,Cím felirat,
Address Type,Cím típusa,
Address and other legal information you may want to put in the footer.,Cím és más hivatalos információkat érdemes lehet a láblécbe tenni.,
Addresses And Contacts,Címek és Kapcsolatok,
Adds a custom field to a DocType,Hozzáad egy egyedi mezőt a DocType-hoz,
Administrator,Rendszergazda,
Advanced,Fejlett,
Advanced Control,Speciális vezérlés,
Advanced Settings,További beállítások,
After Cancel,Mégsem,
After Delete,A törlés után,
After Save,Mentés után,
After Save (Submitted Document),Mentés után (benyújtott dokumentum),
After Submit,A benyújtás után,
Aggregate Function Based On,Összesített funkció alapján,
Alert,Éber,
Align Labels to the Right,Igazítsa a címkéket a jobb oldalra,
Align Right,Igazítsa jobbra,
All,Összes,
All Day,Minden nap,
Allocated To,Kiosztott,
Allot Points To Assigned Users,Pontot rendel a hozzárendelt felhasználók számára,
Allow,Engedélyezi,
Allow Auto Repeat,Engedélyezze az automatikus ismétlést,
Allow Bulk Edit,Engedélyezi a tömeges szerkesztést,
Allow Comments,Megjegyzések engedélyezése,
Allow Consecutive Login Attempts ,Egymást követő bejelentkezési kísérletek engedélyezése,
Allow Delete,Törlés engedélyezése,
Allow Dropbox Access,Dropbox hozzáférés engedélyezése,
Allow Guest,Engedélyezze a vendéget,
Allow Guest to View,Vendég nézet engedélyezése,
Allow Guests to Upload Files,Engedélyezze a vendégeknek a fájlok feltöltését,
Allow Import (via Data Import Tool),Import  engedélyezése (az adatok importálása eszközzel),
Allow Incomplete Forms,Befejezetlen nyomtatvány engedélyezése,
Allow Login After Fail,Hibás bejelentkezés utáni bejelentkezés engedélyezés,
Allow Login using Mobile Number,Belépés engedélyezése mobil szám használatával,
Allow Login using User Name,Engedélyezze a felhasználónévvel a bejelentkezést,
Allow Modules,Modulok engedélyezése,
Allow Print,Nyomtatás engedélyezése,
Allow Print for Cancelled,Törölt nyomtatásának engedélyezése,
Allow Print for Draft,Tervezet nyomtatásának engedélyezése,
Allow Read On All Link Options,Összes link opciót olvasásának engedélyezése,
Allow Rename,Átnevezés engedélyezése,
Allow Roles,Szerepek engedélyezése,
Allow Self Approval,Saját jóváhagyás engedélyezése,
Allow approval for creator of the document,Dokumentum létrehozója jóváhagyásának engedélyezése,
Allow document creation via Email,Engedélyezze a dokumentum létrehozását e-mailben,
Allow events in timeline,Engedélyezzen eseményeket az idővonalon,
Allow in Quick Entry,Gyors bejegyzés engedélyezése,
Allow on Submit,Benyújtáson engedélyezés,
Allow only one session per user,Csak egyetlen munkamenet engedélyezése felhasználónként,
Allow page break inside tables,Hagyjuk oldal break asztalok,
Allow saving if mandatory fields are not filled,"Mentésének engedélyezése, ha a kötelező mezők nincsenek kitöltve",
Allow user to login only after this hour (0-24),"A felhasználó megadhatja, hogy ezen óra után jelentkezhet be (0-24)",
Allow user to login only before this hour (0-24),"A felhasználó megadhatja, hogy ezen óra előtt jelentkezhet be (0-24)",
Allowed,Jóváhagyott,
Allowed In Mentions,Engedélyezett a megemlítésekben,
"Always add ""Draft"" Heading for printing draft documents","Mindig ""Tervezet"" fejszöveggel lássa el a vázlat nyomtatást",
Amend,Módosítására,
Amended From,Módosított feladója,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Egy ikon fájlt .ico kiterjesztéssel. Legyen 16 x 16 px. favicon generátor felhasználásával előállított . [favicon-generator.org],
Analytics,Elemzés,
Annual,Éves,
Anonymous,Névtelen,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Bármely karakterlánc-alapú nyomtatónyelv használható. A nyers parancsok írásához a nyomtató anyanyelvének ismerete szükséges, amelyet a nyomtató gyártója biztosít. A natív parancsok írásáról lásd a nyomtató gyártója által kiadott fejlesztői útmutatót. Ezeket a parancsokat a szerver oldalon a Jinja sablon nyelv használatával jelenítik meg.",
App,Alk.,
App Access Key,Alk hozzáférési kulcs,
App Client ID,Alk kliens ID,
App Client Secret,Alk kliens titkositas,
App Name,Alkalmazás neve,
App Secret Key,Alk titkos kulcs,
Append Emails to Sent Folder,E-mailek csatolása az elküldött mappához,
Append To,Hozzáfűzés,
Applicable For,Alkalmazandó ehhez,
Application Logo,Alkalmazás logója,
Application Name,Alkalmazás neve,
Application Version,Alkalmazás verzió,
Applied On,Alkalmazva,
Apply Document Permissions,Dokumentumengedélyek alkalmazása,
Apply Only Once,Csak egyszer alkalmazza,
Apply Strict User Permissions,Szigorú Felhasználói jogosultságok alkalmazása,
Apply To All Document Types,Alkalmazás minden dokumentumtípusra,
Apply this rule if the User is the Owner,"Alkalmazza ezt a szabályt, ha a felhasználó a tulajdonosa",
Apply this rule only once per document,Ezt a szabályt csak egyszer alkalmazza dokumentumonként,
Appreciation,Felértékelődés,
Archived,Archivált,
Arial,Arial,
Assign Condition,Rendeljen feltételt,
Assign To Users,Hozzárendelés a felhasználók számára,
Assigned,Hozzárendelt,
Assigned By,Hozzárendelte,
Assigned By Full Name,Hozzárendelte teljes nevén,
Assignment,Hozzárendelés,
Assignment Completed,Hozzárendelés Befejezett,
Assignment Days,Feladatok napjai,
Assignment Rule,Hozzárendelési szabály,
Assignment Rule Day,Feladat szabályának napja,
Assignment Rule User,Hozzárendelési szabály felhasználó,
Assignment Rules,Feladat-szabályok,
Assignments,Feladatok,
Attach,Csatolás,
Attach Image,Kép csatolása,
Attach Print,Erősítse Nyomtatás,
Attached File,Csatolt fájl,
Attached To DocType,DocType-hoz csatolás,
Attached To Field,Mezőhöz csatolt,
