"""Company History""","""ประวัติบริษัท""",
"""Team Members"" or ""Management""","“สมาชิกในทีม"" หรือ ""ผู้บริหาร""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,**สกุลเงิน** หลัก,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - ร่าง; 1 - ส่ง; 2 - ยกเลิก,
0 is highest,สูงสุดคือ 0,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,รายการของทรัพยากรที่ app ลูกค้าจะสามารถเข้าถึงหลังจากที่ผู้ใช้จะช่วยให้มัน <br> เช่นโครงการ,
A symbol for this currency. For e.g. $,สัญลักษณ์สำหรับสกุลเงินนี้. ตัวอย่างเช่น $,
A4,A4,
ALL,ทั้งหมด,
API,API,
API Access,การเข้าถึง API,
API Endpoint,จุดเชื่อมต่อ API,
API Endpoint Args,API Endpoint Arguments,
API Key,คีย์ API,
API Method,วิธีการ API,
API Secret,API ลับ,
ASC,ASC,
About Us Settings,การตั้งค่าข้อมูลเกี่ยวกับเรา,
About Us Team Member,เกี่ยวกับสมาชิกในทีมเรา,
Access Key ID,รหัสคีย์การเข้าถึง,
Access Key Secret,เข้าถึงความลับของคีย์,
Access Log,เข้าถึงบันทึก,
Access Token,เข้าสู่ Token,
Access Token URL,เข้าถึง Token URL,
Account,บัญชี,
Accounts Manager,ผู้จัดการบัญชี,
Accounts User,ผู้ใช้งานบัญชี,
Action,ดำเนินการ,
Action / Route,การดำเนินการ / เส้นทาง,
Action Timeout (Seconds),ช่วงหมดเวลาของการดำเนินการ (วินาที),
Action Type,ประเภทการกระทำ,
Actions,การดำเนินการ,
Active,ใช้งาน,
Active Domains,โดเมนที่ใช้งานอยู่,
Activity Log,บันทึกกิจกรรม,
Add Container,เพิ่มคอนเทนเนอร์,
Add Custom Tags,เพิ่มแท็กที่กำหนดเอง,
Add Gray Background,เพิ่มพื้นหลังสีเทา,
Add Signature,เพิ่มลายเซ็น,
Add Total Row,เพิ่มแถวผลรวม,
Add Unsubscribe Link,เพิ่มการเชื่อมโยงยกเลิกการเป็นสมาชิก,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",เพิ่ม HTML ในส่วน &lt;head&gt; ของหน้าเว็บส่วนใหญ่ใช้สำหรับการตรวจสอบเว็บไซต์และ SEO,
Additional Permissions,สิทธิ์ เพิ่มเติม,
Address,ที่อยู่,
Address And Contacts,ที่อยู่และที่ติดต่อ,
Address Line 1,ที่อยู่บรรทัดที่ 1,
Address Line 2,ที่อยู่บรรทัดที่ 2,
Address Template,แม่แบบที่อยู่,
Address Title,หัวข้อที่อยู่,
Address Type,ประเภทของที่อยู่,
Address and other legal information you may want to put in the footer.,ที่อยู่และข้อมูลทางกฎหมายอื่น ๆ ที่คุณอาจต้องการที่จะนำในส่วนท้าย,
Addresses And Contacts,ที่อยู่และรายชื่อผู้ติดต่อ,
Adds a custom field to a DocType,เพิ่มฟิลด์ที่กำหนดเองเพื่อ DocType,
Administrator,ผู้บริหาร,
Advanced,ก้าวหน้า,
Advanced Control,การควบคุมขั้นสูง,
Advanced Settings,ตั้งค่าขั้นสูง,
After Cancel,หลังจากยกเลิก,
