"""Company History""",&quot;د شرکت تاریخ&quot;,
"""Team Members"" or ""Management""",&quot;د ډلې غړي&quot; یا &quot;د مديريت&quot;,
&lt;head&gt; HTML,&lt;مشر&gt; HTML,
**Currency** Master,** د اسعارو ** ماسټر,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - مسوده؛ 1 - وسپارل؛ 2 - ردشوي,
0 is highest,0 لوړه ده,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,د سرچینو لست چې د مراجع ددفتروسایل به وروسته د کارونکي ته اجازه ورکوي چې دا ته لاسرسی ولري. <br> د بيلګې په توګه د پروژې د,
A symbol for this currency. For e.g. $,د دې پيسو د يو سمبول. د بيلګې په توګه $,
A4,A4,
ALL,ټول,
API,API,
API Access,د API لاسرسی,
API Endpoint,د API پایټه,
API Endpoint Args,API Endpoint Args,
API Key,API کلیدي,
API Method,د API میتود,
API Secret,API پټې,
ASC,دلیکلو,
About Us Settings,زموږ په اړه امستنې,
About Us Team Member,زمونږ په اړه د ټيم غړې,
Access Key ID,د کیلي لاسرسي,
Access Key Secret,کیلي پټۍ ته لاسرسی,
Access Log,لاسرسی لاگ,
Access Token,د لاسرسي د نښې,
Access Token URL,د ټیکن یو آر ایل,
Account,ګڼون,
Accounts Manager,حسابونه مدير,
Accounts User,جوړوي کارن,
Action,کړنه,
Action / Route,کړنه / لاره,
Action Timeout (Seconds),د عمل وخت (ثانوي),
Action Type,د عمل ډول,
Actions,کړنې,
Active,د فعالو,
Active Domains,د فعالو ډومېن,
Activity Log,فعالیت ننوتنه,
Add Container,لوښی اضافه کړئ,
Add Custom Tags,دودیز ټاګونه اضافه کړئ,
Add Gray Background,خړ شالید اضافه کړئ,
Add Signature,Add لاسلیک,
Add Total Row,Add Total د کتارونو,
Add Unsubscribe Link,Add لاسرسۍ لینک,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",په &lt;مشر&gt; د ورزیاتولو HTML د ګورت پاڼه د کړی، اصلا د ویب تصدیق او SEO کارول,
Additional Permissions,اضافي حلال,
Address,پته,
Address And Contacts,پته او اړیکې,
Address Line 1,پته کرښې 1,
Address Line 2,د ادرس کرښه 2,
Address Template,پته کينډۍ,
Address Title,پته عنوان,
Address Type,پته ډول,
Address and other legal information you may want to put in the footer.,حل او د نورو حقوقی معلومات تاسو غواړو په پښۍ کړي.,
Addresses And Contacts,پتې او د اړيکو,
Adds a custom field to a DocType,د يو DocType زیاتوي يو دود برخه,
Administrator,Administrator,
Advanced,ژور,
Advanced Control,پرمختللي کنټرول,
Advanced Settings,پرمختللې امستنې,
After Cancel,د لغوه کیدو وروسته,
After Delete,د حذف کیدو وروسته,
After Save,د خوندي کولو وروسته,
After Save (Submitted Document),له خوندي کولو وروسته (سپارل شوی لاسوند),
After Submit,د سپارلو وروسته,
Aggregate Function Based On,مجموعی دنده پر اساس,
Alert,خبرتیا,
Align Labels to the Right,ښیګڼونو ته لیبل وټاکئ,
Align Right,ښي لاس ته,
All,ټول,
All Day,ټوله ورځ,
Allocated To,د اختصاص,
Allot Points To Assigned Users,ټاکل شوي کاروونکو ته د نقطو ټاکل,
Allow,اجازه ورکړه,
Allow Auto Repeat,د بیا تکرار اجازه ورکړه,
Allow Bulk Edit,د حجم سمول اجازه,
Allow Comments,ها اجازه,
Allow Consecutive Login Attempts ,په منظمه توګه د ننوتلو هڅې اجازه ورکړئ,
Allow Delete,اجازه ړنګول,
Allow Dropbox Access,Dropbox د لاسرسي اجازه,
Allow Guest,میلمه ته اجازه ورکړه,
Allow Guest to View,اجازه ميلمه ته ښکاره کړی,
Allow Guests to Upload Files,میلمنو ته اجازه ورکړئ چې فایلونه اپلوډ کړئ,
Allow Import (via Data Import Tool),اجازه وارداتو (له لارې د معلوماتو د وارداتو اسباب),
Allow Incomplete Forms,نابشپړ فورمې اجازه,
Allow Login After Fail,د ناکامۍ وروسته د ننوتلو اجازه ورکړه,
Allow Login using Mobile Number,اجازه ننوتل د موبايل نمبر په کارولو,
Allow Login using User Name,د کارن نوم په کارولو سره د ننوتلو اجازه ورکړه,
Allow Modules,موډولونو ته اجازه ورکړه,
Allow Print,چاپ اجازه,
Allow Print for Cancelled,چاپ اجازه لپاره ردشوي,
Allow Print for Draft,لپاره مسوده چاپ اجازه,
Allow Read On All Link Options,د ټولو لینکونو انتخابونو ته اجازه ورکړئ,
Allow Rename,اجازه نوم بدلولی شی,
Allow Roles,رولونه اجازه,
Allow Self Approval,د ځان تایید اجازه ورکړئ,
Allow approval for creator of the document,د سند د پیدا کولو لپاره د تصویب اجازه ورکړه,
Allow document creation via Email,د بریښنالیک له لارې د سند جوړولو اجازه ورکړئ,
Allow events in timeline,د وخت په وخت کې پیښو ته اجازه ورکړئ,
Allow in Quick Entry,په فوری ننوتلو کې اجازه ورکړئ,
Allow on Submit,اجازه پر سپارل,
Allow only one session per user,په سلو کې د کارونکي يوازې يوه غونډه اجازه,
Allow page break inside tables,مخ جدولونو په دننه کې د وقفې اجازه,
Allow saving if mandatory fields are not filled,د سپما اجازه که اجباري برخو کې دي ډکې نه,
Allow user to login only after this hour (0-24),اجازه د کارونکي يوازې وروسته له دې ساعت login (0-24),
