"""Company History""","""היסטוריה של חברה""",
"""Team Members"" or ""Management""","""חברי צוות"" או ""ניהול""",
&lt;head&gt; HTML,&lt;ראש&gt; HTML,
**Currency** Master,** ** מטבע ראשי,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - טיוטה; 1 - נשלח; 2 - בוטל,
0 is highest,0 הוא גבוהה ביותר,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,רשימת משאבים אליהם תהיה גישה לאפליקציית הלקוח לאחר שהמשתמש מאפשר זאת.<br> למשל פרויקט,
A symbol for this currency. For e.g. $,סימן של מטבע זה. לדוגמה: $$,
A4,A4,
ALL,כל,
API,ממשק API,
API Access,גישה ל- API,
API Endpoint,נקודת סיום API,
API Endpoint Args,API Endpoint Args,
API Key,מפתח API,
API Method,שיטת API,
API Secret,API Secret,
ASC,ASC,
About Us Settings,אודות הגדרות קשר,
About Us Team Member,אודות חבר צוות,
Access Key ID,זיהוי מפתח גישה,
Access Key Secret,סוד מפתח גישה,
Access Log,יומן גישה,
Access Token,גישת אסימון,
Access Token URL,כתובת URL של אסימון גישה,
Account,חשבון,
Accounts Manager,מנהל חשבונות,
Accounts User,חשבונות משתמשים,
Action,פעולה,
Action / Route,פעולה / מסלול,
Action Timeout (Seconds),פסק זמן לפעולה (שניות),
Action Type,סוג פעולה,
Actions,פעולות,
Active,פעיל,
Active Domains,תחומים פעילים,
Activity Log,יומן פעילות,
Add Container,הוסף מיכל,
Add Custom Tags,הוסף תגים מותאמים אישית,
Add Gray Background,הוסף רקע אפור,
Add Signature,להוסיף את החתימה,
Add Total Row,"להוסיף סה""כ Row",
Add Unsubscribe Link,הוסף קישור ביטול מנוי,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML הוסיף ב&lt; head&gt; של דף האינטרנט, המשמש בעיקר לאימות אתר וקידום אתרים",
Additional Permissions,הרשאות נוספות,
Address,כתובת,
Address And Contacts,כתובת ואנשי קשר,
Address Line 1,שורת כתובת 1,
Address Line 2,שורת כתובת 2,
Address Template,תבנית כתובת,
Address Title,כותרת כתובת,
Address Type,סוג הכתובת,
Address and other legal information you may want to put in the footer.,כתובת ומידע משפטי אחר שאולי כדאי לשים בכותרת התחתונה.,
Addresses And Contacts,כתובות ואנשי קשר,
Adds a custom field to a DocType,מוסיף שדה מותאם אישית לDOCTYPE,
Administrator,מנהל,
Advanced,מתקדם,
Advanced Control,שליטה מתקדמת,
Advanced Settings,הגדרות מתקדמות,
After Cancel,לאחר ביטול,
After Delete,לאחר מחיקה,
After Save,לאחר שמירה,
After Save (Submitted Document),לאחר שמירה (מסמך שהוגש),
After Submit,לאחר הגשה,
Aggregate Function Based On,פונקציה מצטברת המבוססת על,
Alert,עֵרָנִי,
Align Labels to the Right,יישר תוויות ימינה,
Align Right,ליישור מימין,
All,כל,
All Day,כל היום,
Allocated To,שהוקצה ל,
Allot Points To Assigned Users,הקצאת נקודות למשתמשים שהוקצו,
Allow,להתיר,
Allow Auto Repeat,אפשר חזרה אוטומטית,
Allow Bulk Edit,אפשר עריכה בכמות גדולה,
Allow Comments,אפשר הערות,
Allow Consecutive Login Attempts ,אפשר ניסיונות כניסה רצופים,
Allow Delete,לאפשר מחיקה,
Allow Dropbox Access,אפשר גישה Dropbox,
Allow Guest,אפשר לאורח,
Allow Guest to View,אפשר לאורח לצפות,
Allow Guests to Upload Files,אפשר לאורחים להעלות קבצים,
Allow Import (via Data Import Tool),אפשר ייבוא (באמצעות כלי ייבוא נתונים),
Allow Incomplete Forms,אפשר טפסים לא שלמים,
Allow Login After Fail,אפשר כניסה לאחר כישלון,
Allow Login using Mobile Number,אפשר כניסה באמצעות מספר נייד,
Allow Login using User Name,אפשר כניסה באמצעות שם משתמש,
Allow Modules,אפשר מודולים,
Allow Print,אפשר הדפסה,
Allow Print for Cancelled,אפשר הדפסה עבור בוטל,
Allow Print for Draft,אפשר הדפסה עבור טיוטה,
Allow Read On All Link Options,אפשר קריאה על כל אפשרויות הקישור,
Allow Rename,לאפשר שינוי שם,
Allow Roles,אפשר תפקידים,
Allow Self Approval,אפשר אישור עצמי,
Allow approval for creator of the document,אפשר אישור ליוצר המסמך,
Allow document creation via Email,אפשר יצירת מסמכים באמצעות דוא&quot;ל,
Allow events in timeline,אפשר אירועים בציר הזמן,
Allow in Quick Entry,אפשר כניסה מהירה,
Allow on Submit,לאפשר בשלח,
Allow only one session per user,אפשר רק פגישה אחת לכל משתמש,
Allow page break inside tables,אפשר מעבר דפים בתוך טבלאות,
Allow saving if mandatory fields are not filled,אפשר שמירה אם שדות חובה אינם ממולאים,
Allow user to login only after this hour (0-24),אפשר למשתמש להתחבר רק לאחר שעה זו (0-24),
Allow user to login only before this hour (0-24),אפשר למשתמש להתחבר רק לפני שעה זו (0-24),
Allowed,מחמד,
Allowed In Mentions,מותר להזכיר,
"Always add ""Draft"" Heading for printing draft documents",הוסף תמיד כותרת &quot;טיוטה&quot; להדפסת מסמכי טיוטה,
Amend,לתקן,
Amended From,תוקן מ,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],קובץ סמל עם .ico הארכה. צריך להיות 16 x 16 פיקסלים. נוצר באמצעות מחולל favicon. [Favicon-generator.org],
Analytics,Analytics,
Annual,שנתי,
Anonymous,בעילום שם,
