"""Company History""","""Lịch sử công ty""",
"""Team Members"" or ""Management""","""Các Thành Viên Nhóm"" hoặc  ""Ban Quản Lý""",
&lt;head&gt; HTML,HTML,
**Currency** Master,Quản trị ** Tiền tệ**,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Nháp; 1 - Đã duyệt; 2 - Đã hủy,
0 is highest,0 là cao nhất,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Một danh sách các nguồn App Khách hàng sẽ có quyền truy cập đến sau khi người dùng cho phép nó. <br> ví dụ như dự án,
A symbol for this currency. For e.g. $,Biểu tượng đồng tiền này. Ví dụ như $,
A4,A4,
ALL,TẤT CẢ,
API,API,
API Access,Quyền truy cập API,
API Endpoint,Điểm cuối API,
API Endpoint Args,API đối tượng điểm cuối,
API Key,API Key,
API Method,Phương pháp API,
API Secret,API Bí mật,
ASC,ASC,
About Us Settings,thiết lập mục 'về chúng tôi',
About Us Team Member,Thành viên nhóm 'Về chúng tôi',
Access Key ID,ID khóa truy cập,
Access Key Secret,Truy cập bí mật khóa,
Access Log,Nhật ký truy cập,
Access Token,Mã truy cập,
Access Token URL,Truy cập URL Token,
Account,Tài khoản,
Accounts Manager,Quản lý tài khoản,
Accounts User,Người dùng kế toán,
Action,thao tác,
Action / Route,Hành động / Lộ trình,
Action Timeout (Seconds),Thời gian chờ hành động (Giây),
Action Type,Loại hành động,
Actions,Các thao tác,
Active,có hiệu lực,
Active Domains,Kích hoạt miền,
Activity Log,Nhật ký hoạt động,
Add Container,Thêm vùng chứa,
Add Custom Tags,Thêm thẻ tùy chỉnh,
Add Gray Background,Thêm nền xám,
Add Signature,Thêm Chữ ký,
Add Total Row,Tổng số Row thêm,
Add Unsubscribe Link,Thêm Hủy đăng ký liên kết,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Thêm HTML vào trong &lt;head&gt; của trang web, chủ yếu được sử dụng để xác minh trang web và SEO",
Additional Permissions,Quyền thêm,
Address,Địa chỉ,
Address And Contacts,Địa chỉ và Liên hệ,
Address Line 1,Địa chỉ Line 1,
Address Line 2,Địa chỉ Dòng 2,
Address Template,Địa chỉ Template,
Address Title,Địa chỉ Tiêu đề,
Address Type,Địa chỉ Loại,
Address and other legal information you may want to put in the footer.,Địa chỉ và thông tin pháp lý khác mà bạn có thể muốn đặt ở chân.,
Addresses And Contacts,Địa chỉ và danh bạ,
Adds a custom field to a DocType,Thêm một thông tin một DOCTYPE,
Administrator,Quản trị viên,
Advanced,Nâng cao,
Advanced Control,Kiểm soát nâng cao,
Advanced Settings,Cài đặt nâng cao,
After Cancel,Sau khi hủy,
After Delete,Sau khi xóa,
After Save,Sau khi lưu,
After Save (Submitted Document),Sau khi lưu (Tài liệu đã gửi),
After Submit,Sau khi gửi,
Aggregate Function Based On,Hàm tổng hợp dựa trên,
Alert,Cảnh báo,
Align Labels to the Right,Căn chỉnh Nhãn ở bên phải,
Align Right,Sắp xếp đúng,
All,Tất cả,
All Day,Tất cả các ngày,
Allocated To,Để phân bổ,
Allot Points To Assigned Users,Phân bổ điểm cho người dùng được chỉ định,
Allow,Cho phép,
Allow Auto Repeat,Cho phép tự động lặp lại,
Allow Bulk Edit,Cho phép Chỉnh sửa Hàng loạt,
Allow Comments,Cho phép Comments,
Allow Consecutive Login Attempts ,Cho phép thử liên tục đăng nhập,
Allow Delete,Cho phép Xóa,
Allow Dropbox Access,Cho phép truy cập Dropbox,
Allow Guest,Cho phép khách,
Allow Guest to View,Cho phép Khách đến Xem,
Allow Guests to Upload Files,Cho phép khách tải lên tập tin,
Allow Import (via Data Import Tool),Cho phép nhập khẩu (thông qua Công cụ Nhập dữ liệu),
Allow Incomplete Forms,Cho phép hình thức không đầy đủ,
Allow Login After Fail,Cho phép đăng nhập sau khi thất bại,
Allow Login using Mobile Number,Cho phép đăng nhập sử dụng số di động,
Allow Login using User Name,Cho phép Đăng nhập bằng Tên Người dùng,
Allow Modules,Cho phép mô-đun,
Allow Print,cho phép In,
Allow Print for Cancelled,cho phép để hủy,
Allow Print for Draft,cho phép in nháp,
Allow Read On All Link Options,Cho phép tùy chọn đọc trên tất cả liên kết,
Allow Rename,Cho phép đổi tên,
Allow Roles,cho phép Vai trò,
Allow Self Approval,Cho phép tự phê duyệt,
Allow approval for creator of the document,Cho phép phê duyệt đối với người tạo tài liệu,
Allow document creation via Email,Cho phép tạo tài liệu qua Email,
Allow events in timeline,Cho phép sự kiện trong dòng thời gian,
Allow in Quick Entry,Cho phép trong mục nhập nhanh,
Allow on Submit,Cho phép khi Đệ trình,
Allow only one session per user,Chỉ cho phép một phiên mỗi người dùng,
Allow page break inside tables,Cho phép trang phá vỡ bên trong bảng,
Allow saving if mandatory fields are not filled,Cho phép tiết kiệm nếu các lĩnh vực bắt buộc không được điền,
