"""Company History""",&quot;कंपनी इतिहास&quot;,
"""Team Members"" or ""Management""",&quot;टीम के सदस्यों&quot; या &quot;प्रबंधन&quot;,
&lt;head&gt; HTML,&lt;Head&gt; एचटीएमएल,
**Currency** Master,** मुद्रा ** मास्टर,
0 - Draft; 1 - Submitted; 2 - Cancelled,० - ड्राफ्ट; १ - प्रस्तुत; २ - रद्द,
0 is highest,० सबसे ज्यादा है,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,संसाधनों की एक सूची है जो ग्राहक App उपयोगकर्ता यह अनुमति देता है के बाद के लिए उपयोग होगा। <br> उदाहरण के लिए परियोजना,
A symbol for this currency. For e.g. $,इस मुद्रा के लिए एक प्रतीक. उदाहरण के लिए $,
A4,A4,
ALL,सभी,
API,एपीआई,
API Access,एपीआई एक्सेस,
API Endpoint,एपीआई समापन बिंदु,
API Endpoint Args,एपीआई समापन बिंदु Args,
API Key,एपीआई कुंजी,
API Method,एपीआई विधि,
API Secret,एपीआई गुप्त,
ASC,एएससी,
About Us Settings,हमारे बारे में की सेटिंग्स,
About Us Team Member,हमारे दल के सदस्य के बारे में,
Access Key ID,प्रवेश कुंजी आईडी,
Access Key Secret,पहुंच कुंजी गुप्त,
Access Log,प्रवेश लॉग,
Access Token,एक्सेस टोकन,
Access Token URL,प्रवेश टोकन यूआरएल,
Account,खाता,
Accounts Manager,अकाउंट मैनेजर,
Accounts User,उपयोगकर्ता खातों,
Action,कार्रवाई,
Action / Route,क्रिया / मार्ग,
Action Timeout (Seconds),एक्शन टाइमआउट (सेकेंड),
Action Type,प्रक्रिया का प्रकार,
Actions,क्रियाएँ,
Active,सक्रिय,
Active Domains,सक्रिय डोमेन,
Activity Log,गतिविधि लॉग,
Add Container,कंटेनर जोड़ें,
Add Custom Tags,कस्टम टैग जोड़ें,
Add Gray Background,ग्रे पृष्ठभूमि जोड़ें,
Add Signature,हस्ताक्षर जोड़ें,
Add Total Row,कुल पंक्ति जोड़ें,
Add Unsubscribe Link,जोड़े सदस्यता रद्द करें लिंक,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","&lt;Head&gt; में जोड़ा गया HTML वेब पेज के अनुभाग में, मुख्य रूप से वेबसाइट सत्यापन और एसईओ के लिए इस्तेमाल किया",
Additional Permissions,अतिरिक्त अनुमतियों,
Address,पता,
Address And Contacts,पता और संपर्क,
Address Line 1,पता पंक्ति 1,
Address Line 2,पता पंक्ति 2,
Address Template,पता खाका,
Address Title,पता शीर्षक,
Address Type,पता प्रकार,
Address and other legal information you may want to put in the footer.,पता और अन्य कानूनी जानकारी आप पाद लेख में डाल सकते हैं.,
Addresses And Contacts,पते और संपर्क,
Adds a custom field to a DocType,एक doctype के लिए एक कस्टम क्षेत्र जोड़ता है,
Administrator,प्रशासक,
Advanced,उन्नत,
Advanced Control,उन्नत नियंत्रण,
Advanced Settings,एडवांस सेटिंग,
After Cancel,रद्द करने के बाद,
After Delete,डिलीट करने के बाद,
After Save,सेव के बाद,
After Save (Submitted Document),सहेजें (प्रस्तुत दस्तावेज़) के बाद,
After Submit,सबमिट करने के बाद,
Aggregate Function Based On,आधार पर कार्य,
Alert,चेतावनी,
Align Labels to the Right,लेबल को दाईं ओर संरेखित करें,
Align Right,सही संरेखित,
All,सब,
All Day,सभी दिन,
Allocated To,के लिए आवंटित,
Allot Points To Assigned Users,आवंटित उपयोगकर्ताओं को अंक आवंटित करें,
Allow,अनुमति दें,
Allow Auto Repeat,ऑटो रिपीट की अनुमति दें,
Allow Bulk Edit,बल्क संपादन की अनुमति दें,
Allow Comments,टिप्पणियों की अनुमति दें,
Allow Consecutive Login Attempts ,अभिसरण लॉगिन प्रयासों की अनुमति दें,
Allow Delete,हटाएँ की अनुमति दें,
Allow Dropbox Access,ड्रॉपबॉक्स पहुँच की अनुमति,
Allow Guest,अतिथि की अनुमति दें,
Allow Guest to View,देखने के लिए अतिथि की अनुमति दें,
