"""Company History""","""История компании""",
"""Team Members"" or ""Management""","""Члены команды"" или ""Управление""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,**Валютный** Мастер,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Черновики; 1 - Принятые; 2 - Отмененные,
0 is highest,0 является самым высоким,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Список ресурсов, к которым клиентское приложение будет иметь доступ после того, как пользователь разрешит это.<br> например. проект",
A symbol for this currency. For e.g. $,"Символ этой валюты. Например, ₽",
A4,A4,
ALL,ВСЕ,
API,API,
API Access,Доступ к API,
API Endpoint,Конечная точка API,
API Endpoint Args,API Endpoint Args,
API Key,API Ключ,
API Method,Метод API,
API Secret,API Секретный,
ASC,ASC,
About,О системе,
About Us Settings,Настройки «О нас»,
About Us Team Member,О члене комманды,
Access Key ID,Идентификатор ключа доступа,
Access Key Secret,Секретный ключ доступа,
Access Log,Журнал доступа,
Access Token,Маркер доступа,
Access Token URL,URL токена доступа,
Account,Аккаунт,
Accounts Manager,Диспетчер счетов,
Accounts User,Пользователь Счетов,
Action,Действие,
Action / Route,Действие / Маршрут,
Action Timeout (Seconds),Тайм-аут действия (секунды),
Action Type,Тип действия,
Actions,Действия,
Active,Активен,
Active Domains,Активные домены,
Activity Log,Журнал активности,
Add Container,Добавить контейнер,
Add Custom Tags,Добавить собственные теги,
Add Gray Background,Добавить серый фон,
Add Signature,Добавить подпись,
Add Total Row,Добавить итоговую строку,
Add Unsubscribe Link,Добавить ссылку Отписаться,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Добавлена HTML в &lt;HEAD&gt; часть веб-страницы, в основном используется для проверки веб-сайтов и SEO",
Additional Permissions,Дополнительные разрешения,
Address,Адрес,
Address And Contacts,Адрес и контакты,
Address Line 1,Адрес (1-я строка),
Address Line 2,Адрес (2-я строка),
Address Template,Шаблон адреса,
Address Title,Название адреса,
Address Type,Тип адреса,
Address and other legal information you may want to put in the footer.,"Адрес и другое юридическое информация, которую вы можете положить в нижней.",
Addresses And Contacts,Адреса и контакты,
Adds a custom field to a DocType,Добавляет настраиваемое поле в DocType,
Administrator,Администратор,
Advanced,Продвинутый,
Advanced Control,Расширенный контроль,
Advanced Settings,Расширенные настройки,
After Cancel,После отмены,
After Delete,После удаления,
After Save,После сохранения,
After Save (Submitted Document),После сохранения (отправленный документ),
After Submit,После отправки,
Aggregate Function Based On,"Агрегатная функция, основанная на",
Alert,Предупреждение,
Align Labels to the Right,Выровнять метки по правому краю,
Align Right,Выровнять по правому краю,
All,Все,
All Day,Весь день,
Allocated To,Выделяемых на,
Allot Points To Assigned Users,Выделить баллы назначенным пользователям,
Allow,Разрешить,
Allow Auto Repeat,Разрешить автоматическое повторение,
Allow Bulk Edit,Разрешить массовое редактирование,
Allow Comments,Разрешить комментарии,
Allow Consecutive Login Attempts ,Разрешить последовательные попытки авторизации,
Allow Delete,Разрешить удаление,
