"""Company History""",&quot;ကုမ္ပဏီသမိုင်း&quot;,
"""Team Members"" or ""Management""",&quot;ရေးအဖွဲ့အဖွဲ့ဝင်များ&quot; သို့မဟုတ် &quot;စီမံခန့်ခွဲမှု&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML ကို,
**Currency** Master,** ငွေကြေးစနစ် ** မဟာ,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 င် - မူကြမ်း; 1 - Submitted; 2 - ဖျက်သိမ်း,
0 is highest,0 င်အမြင့်မားဆုံးဖြစ်ပါတယ်,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,အသုံးပြုသူကခွင့်ပြုပြီးနောက်လိုင်း App ကိုမှဝင်ရောက်ခွင့်ရှိလိမ့်မည်သည့်အရင်းအမြစ်များကိုစာရင်းတစ်ခု။ <br> ဥပမာစီမံကိန်းအတွက်,
A symbol for this currency. For e.g. $,ဒီငွေကြေးများအတွက်သင်္ကေတ။ ဥပမာ $ for,
A4,A4,
ALL,အားလုံး,
API,API ကို,
API Access,API Access,
API Endpoint,API ကိုဆုံးမှတ်,
API Endpoint Args,API ကိုဆုံးမှတ် Args,
API Key,API ကို Key ကို,
API Method,API နည်းလမ်း,
API Secret,API ကိုလြှို့ဝှကျ,
ASC,ASC,
About Us Settings,ကျွန်ုပ်တို့ကို Settings ကိုအကြောင်း,
About Us Team Member,ကျွန်ုပ်တို့ကိုရေးအဖွဲ့အဖွဲ့ဝင်အကြောင်း,
Access Key ID,Access ကိုသော့ ID,
Access Key Secret,key ကိုသုံးပါ,
Access Log,access ကို Log in ဝင်ရန်,
Access Token,Access Token,
Access Token URL,Access ကိုတိုကင် URL ကို,
Account,အကောင့်ဖွင့်,
Accounts Manager,အကောင့်အသစ်များ၏ Manager က,
Accounts User,အသုံးပြုသူအကောင့်,
Action,action,
Action / Route,လှုပ်ရှားမှု / လမ်းကြောင်း,
Action Timeout (Seconds),လှုပ်ရှားမှုရပ်သွားသည် (စက္ကန့်),
Action Type,လှုပ်ရှားမှုအမျိုးအစား,
Actions,* Actions,
Active,active,
Active Domains,active ကိုဒိုမိန်း,
Activity Log,လုပ်ဆောင်ချက်အထဲ,
Add Container,ကွန်တိန်နာထည့်ပါ,
Add Custom Tags,စိတ်ကြိုက် Tags ထည့်ပါ,
Add Gray Background,မီးခိုးရောင်နောက်ခံထည့်ပါ,
Add Signature,ထိုးမြဲလက်မှတ် Add,
Add Total Row,စုစုပေါင်း Row Add,
Add Unsubscribe Link,စာရင်းဖျက်ရန် Link ကို Add,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",အဓိကအားဖြင့် Website ကိုစိစစ်အတည်ပြုခြင်းနှင့် SEO ဆိုသည်မှာများအတွက်အသုံးပြုတဲ့ဝဘ်စာမျက်နှာ၏ &lt;head&gt; အပိုင်းအတွက် HTML ကို Added,
Additional Permissions,နောက်ထပ်ခွင့်ပြုချက်,
Address,လိပ်စာ,
Address And Contacts,လိပ်စာနှင့်အဆက်အသွယ်များ,
Address Line 1,လိပ်စာစာကြောင်း 1,
Address Line 2,လိပ်စာလိုင်း 2,
Address Template,လိပ်စာ Template:,
Address Title,လိပ်စာခေါင်းစဉ်,
Address Type,လိပ်စာရိုက်ထည့်ပါ,
Address and other legal information you may want to put in the footer.,လိပ်စာနှင့်သင် footer အတွက်ထားရန်လိုပေမည်အခြားဥပဒေရေးရာသတင်းအချက်အလက်များကို။,
Addresses And Contacts,လိပ်စာနှင့်ဆက်သွယ်ရန်,
Adds a custom field to a DocType,တစ် DOCTYPE မှတစ်စိတ်ကြိုက်ထည့်သွင်း,
Administrator,အုပ်ချုပ်သူ,
Advanced,advanced,
Advanced Control,အဆင့်မြင့်ထိန်းချုပ်ရေး,
Advanced Settings,အဆင့်မြင့်ချိန်ညှိမှုများ,
After Cancel,Cancel ပြီးနောက်,
After Delete,ပယ်ဖျက်ပြီးနောက်,
After Save,သိမ်းဆည်းပြီးနောက်,
After Save (Submitted Document),သိမ်းဆည်းပြီးနောက် (တင်ပြစာရွက်စာတမ်း),
After Submit,တင်သွင်းပြီးနောက်,
Aggregate Function Based On,အပေါ်အခြေခံပြီးစုစုပေါင်း function ကို,
Alert,သတိပေး,
Align Labels to the Right,မှန်ကန်စွာရွေးချယ်ရန် Labels: align,
Align Right,ညာဘက် align,
All,အားလုံး,
All Day,အားလုံးသည်နေ့,
Allocated To,ရန်လျာထား,
Allot Points To Assigned Users,Assigned အသုံးပြုသူများရန်အမှတ်စာရေးတံ ချ. ဝေ,
Allow,ခွင့်ပြု,
Allow Auto Repeat,အော်တိုထပ် Allow,
Allow Bulk Edit,အစုလိုက် Edit ကို Allow,
Allow Comments,မှတ်ချက်များ Allow,
Allow Consecutive Login Attempts ,Allow ဆက်တိုက်ဝင်မည်ကြိုးစားခြင်း,
Allow Delete,Delete Allow,
Allow Dropbox Access,Dropbox ကို Access က Allow,
Allow Guest,Guest ည့်သည်ခွင့်ပြုသည်,
Allow Guest to View,ဧည့်သည် View မှ Allow,
Allow Guests to Upload Files,ဧည့်သည်ဖိုင်များအင်တာနက်ပေါ်တင်ခြင်းမှ Allow,
Allow Import (via Data Import Tool),(ဒေတာများကိုတင်သွင်း Tool ကိုမှတဆင့်) ကိုတင်သွင်းခွင့်ပြုပါ,
Allow Incomplete Forms,မပြည့်စုံပုံစံ Allow,
Allow Login After Fail,ဝင်မည်ကျရှုံးခြင်းပြီးနောက် Allow,
Allow Login using Mobile Number,ဝင်မည်မိုဘိုင်းနံပါတ်သုံးပြီး Allow,
Allow Login using User Name,ဝင်မည်အသုံးပြုသူအမည်သုံးပြီး Allow,
Allow Modules,မော်ဂျူးများ Allow,
Allow Print,ပုံနှိပ်ပါ Allow,
Allow Print for Cancelled,ပယ်ဖျက်ဘို့ပရင့်ထုတ်ရန် Allow,
Allow Print for Draft,မူကြမ်းများအတွက်ပုံနှိပ်ပါ Allow,
Allow Read On All Link Options,အားလုံး Link ကို Options ကိုတွင်ဖတ်ပါ Allow,
Allow Rename,Rename Allow,
Allow Roles,အခန်းကဏ္ဍ Allow,
Allow Self Approval,ကိုယ်ပိုင်အတည်ပြုချက် Allow,
Allow approval for creator of the document,စာရွက်စာတမ်း၏ဖန်ဆင်းရှင်များအတွက်ခွင့်ပြုချက် Allow,
Allow document creation via Email,အီးမေးလ်မှတဆင့်စာရွက်စာတမ်းများဖန်တီးခွင့်ပြုပါ,
Allow events in timeline,အချိန်ဇယားထဲမှာ Allow ဖြစ်ရပ်များ,
Allow in Quick Entry,လျင်မြန်စွာ Entry အတွက် Allow,
Allow on Submit,Submit အပေါ် Allow,
Allow only one session per user,အသုံးပြုသူတစ်ဦးလျှင်တစ်ဦးတည်းသာ session ကို Allow,
Allow page break inside tables,စားပွဲအတွင်းပိုင်းစာမျက်နှာချိုး Allow,
Allow saving if mandatory fields are not filled,မဖြစ်မနေလယ်ကွင်းပြည့်ဝကြသည်မဟုတ်လျှင်ချွေ Allow,
Allow user to login only after this hour (0-24),(0-24) အသုံးပြုသူသာဒီနာရီပြီးနောက် login မှ Allow,
Allow user to login only before this hour (0-24),(0-24) အသုံးပြုသူကိုသာထိုအခြိနျမီ login မှ Allow,
Allowed,Allowed,
Allowed In Mentions,ခုနှစ်တွင်ပြောဆိုရန်ခွင့်ပြု,
"Always add ""Draft"" Heading for printing draft documents",အမြဲတမ်းပုံနှိပ်ဥပဒေမူကြမ်းစာရွက်စာတမ်းများများအတွက်ခေါင်းစီး &quot;မူကြမ်း&quot; add,
Amend,ပြင်ပြု,
Amended From,မှစ. ပြင်ဆင်,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico extenstion နဲ့ icon တစ်ခုဖိုင်။ အသက် 16 &#39;x 16 ဦး px ဖြစ်သင့်သည်။ တစ် favicon မီးစက်ကိုအသုံးပြုပြီးထုတ်လုပ်။ [favicon-generator.org],
Analytics,analytics,
Annual,နှစ်ပတ်လည်,
Anonymous,အမည်မသိ,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,မဆို string ကို-based ပရင်တာဘာသာစကားများကိုအသုံးပြုနိုင်ပါတယ်။ ကုန်ကြမ်းပညတ်တော်တို့ကိုရေးသားခြင်းပရင်တာထုတ်လုပ်သူများကထောက်ပံ့ပေးပရင်တာရဲ့မိခင်ဘာသာစကား၏အသိပညာလိုအပ်သည်။ သူတို့ရဲ့ဇာတိပညတ်တို့ကိုရေးသားဖို့ဘယ်လိုပေါ်ပရင်တာထုတ်လုပ်သူများကထောက်ပံ့ပေးသည့်ဆော့ဖ်ဝဲရေးလက်စွဲစာအုပ်သွားရောက်ဖတ်ရှုပါ။ ထို command ကတော့ Jinja template ဘာသာစကားများကို အသုံးပြု. ဆာဗာဘက်မှာပြန်ဆိုရသည်။,
App,App ကို,
App Access Key,App ကို Access ကို Key ကို,
App Client ID,App ကိုလိုင်း ID ကို,
App Client Secret,App ကိုလိုင်းလျှို့ဝှက်ချက်,
App Name,App ကိုအမည်,
App Secret Key,App ကိုလြှို့ဝှကျ Key ကို,
Append Emails to Sent Folder,Folder ကိုပို့။ စာများပို့ပါ,
Append To,ရန် append,
Applicable For,အကြောင်းမူကားသက်ဆိုင်သော,
Application Logo,လျှောက်လွှာလိုဂို,
Application Name,လျှောက်လွှာအမည်,
Application Version,လျှောက်လွှာဗားရှင်း,
Applied On,လျှောက်ထားသည်,
Apply Document Permissions,စာရွက်စာတမ်းခွင့်ပြုချက်များ Apply,
Apply Only Once,တစ်ကြိမ်သာလျှောက်ပါ,
Apply Strict User Permissions,တင်းကျပ်အသုံးပြုသူခွင့်ပြုချက်များ Apply,
Apply To All Document Types,အားလုံးစာရွက်စာတမ်းအမျိုးအစားများရန် Apply,
Apply this rule if the User is the Owner,အသုံးပြုသူကိုပိုင်ရှင်ဖြစ်လျှင်ဤနည်းဥပဒေ Apply,
