"""Company History""",&quot;Företagets historia&quot;,
"""Team Members"" or ""Management""","""Gruppmedlemmar"" eller ""Ledning""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,**Valuta** Ledare,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Utkast; 1 - som överlämnas; 2 - Inställd,
0 is highest,0 är högst,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,En lista över resurser som Kunden App kommer att ha tillgång till efter att användaren tillåter det. <br> t.ex. projektet,
A symbol for this currency. For e.g. $,En symbol för denna valuta. För t.ex. $,
A4,A4,
ALL,ALLT,
API,API,
API Access,API-åtkomst,
API Endpoint,API slutpunkt,
API Endpoint Args,API Endpoint Args,
API Key,API-nyckel,
API Method,API-metod,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Om oss Inställningar,
About Us Team Member,Om oss - gruppmedlem,
Access Key ID,Åtkomstnyckel ID,
Access Key Secret,Access Key Secret,
Access Log,Åtkomstlogg,
Access Token,Tillträde token,
Access Token URL,Access-Token-URL,
Account,konto,
Accounts Manager,Account Manager,
Accounts User,Användare,
Action,Åtgärd,
Action / Route,Action / rutt,
Action Timeout (Seconds),Åtgärdstidsavbrott (sekunder),
Action Type,Åtgärdstyp,
Actions,Åtgärder,
Active,Aktiv,
Active Domains,Aktiva domäner,
Activity Log,Aktivitets Logg,
Add Container,Lägg till behållare,
Add Custom Tags,Lägg till anpassade taggar,
Add Gray Background,Lägg till grå bakgrund,
Add Signature,Lägg Signatur,
Add Total Row,Lägg till Totalt Rad,
Add Unsubscribe Link,Lägg avsägandelänken,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Inkom HTML i avsnittet &lt;head&gt; på webbsidan, i första hand används för webbplats verifiering och SEO",
Additional Permissions,Ytterligare behörigheter,
Address,Adress,
Address And Contacts,Adress och kontakter,
Address Line 1,Adress Linje 1,
Address Line 2,Adress Linje 2,
Address Template,Adress Mall,
Address Title,Adress Titel,
Address Type,Adresstyp,
Address and other legal information you may want to put in the footer.,Adress och annan juridisk information du kanske vill sätta i sidfoten.,
Addresses And Contacts,Adresser och Kontakter,
Adds a custom field to a DocType,Lägger till ett anpassat fält till en DocType,
Administrator,Administratör,
Advanced,Avancerad,
Advanced Control,Avancerad kontroll,
Advanced Settings,Avancerade inställningar,
After Cancel,Efter avbryt,
After Delete,Efter radering,
After Save,Efter spara,
After Save (Submitted Document),Efter spara (skickat dokument),
After Submit,Efter skicka,
Aggregate Function Based On,Samlad funktion baserad på,
Alert,Varna,
Align Labels to the Right,Rikta ut etiketterna till höger,
Align Right,Anpassa till höger,
All,Allt,
All Day,Hela Dagen,
Allocated To,Fördelas till,
Allot Points To Assigned Users,Tilldela poäng till tilldelade användare,
Allow,Tillåta,
Allow Auto Repeat,Tillåt automatisk upprepning,
Allow Bulk Edit,Tillåt Bulk Edit,
Allow Comments,Tillåt kommentarer,
Allow Consecutive Login Attempts ,Tillåt på varandra följande inloggningsförsök,
Allow Delete,Tillåt Radera,
Allow Dropbox Access,Tillåt Dropbox Tillgång,
Allow Guest,Tillåt gäst,
Allow Guest to View,Tillåta gäster att Visa,
Allow Guests to Upload Files,Låt gästerna ladda upp filer,
Allow Import (via Data Import Tool),Låt Import (via dataimport Tool),
Allow Incomplete Forms,Tillåt Ofullständiga Forms,
Allow Login After Fail,Tillåt inloggning efter misslyckande,
Allow Login using Mobile Number,Tillåt inloggning med mobilnummer,
Allow Login using User Name,Tillåt inloggning med användarnamn,
Allow Modules,Tillåt moduler,
Allow Print,Tillåt tryck~~POS=HEADCOMP,
Allow Print for Cancelled,Tillåt Print för Inställd,
Allow Print for Draft,Låt ut för Utkast,
Allow Read On All Link Options,Tillåt läsning på alla länkalternativ,
Allow Rename,Tillåt Ändra namn,
Allow Roles,Tillåt roller,
Allow Self Approval,Tillåt själv godkännande,
Allow approval for creator of the document,Tillåt godkännande för skaparen av dokumentet,
Allow document creation via Email,Tillåt skapande av dokument via e-post,
Allow events in timeline,Tillåt händelser i tidslinjen,
Allow in Quick Entry,Tillåt vid snabb inmatning,
Allow on Submit,Tillåt på Skicka,
Allow only one session per user,Tillåt bara en session per användare,
Allow page break inside tables,Tillåt sidbrytning inuti tabeller,
Allow saving if mandatory fields are not filled,Tillåt spara om obligatoriska fält inte fylls,
Allow user to login only after this hour (0-24),Tillåt användare att logga in först efter denna timme (0-24),
Allow user to login only before this hour (0-24),Tillåt användare att logga in endast innan denna timme (0-24),
Allowed,Tillåten,
Allowed In Mentions,Tillåts i omnämnanden,
"Always add ""Draft"" Heading for printing draft documents",Tillsätt alltid &quot;Utkast&quot; Rubrik för utskrift utkast,
Amend,Ändra,
Amended From,Ändrat Från,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],En ikon fil med Ico förlängning. Bör vara 16 x 16 px. Alstras med användning av en favicon generator. [favicon-generator.org],
Analytics,Analytics,
Annual,Årlig,
Anonymous,Anonym,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Alla strängbaserade skrivarspråk kan användas. Att skriva råa kommandon kräver kunskap om skrivarens modersmål som tillhandahålls av skrivartillverkaren. Se utvecklarhandboken som tillhandahålls av skrivartillverkaren om hur du skriver sina ursprungliga kommandon. Dessa kommandon återges på serversidan med hjälp av Jinja Templating Language.,
App,app,
App Access Key,App Tillgång Key,
App Client ID,App-klient-ID,
App Client Secret,App klienthemligheten,
App Name,App Namn,
App Secret Key,App Secret Key,
Append Emails to Sent Folder,Lägg till e-postmeddelanden till skickad mapp,
Append To,Bifoga Till,
Applicable For,Tillämplig för,
Application Logo,Applikationslogotyp,
Application Name,applikationsnamn,
Application Version,Applikationsversion,
Applied On,Används på,
Apply Document Permissions,Tillämpa dokumentbehörigheter,
Apply Only Once,Applicera endast en gång,
Apply Strict User Permissions,Ansök strikta användarbehörigheter,
Apply To All Document Types,Tillämpa alla dokumenttyper,
