"""Company History""","""História organizácie""",
"""Team Members"" or ""Management""","""Členovia tímu"" alebo ""Vedenie""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Mena ** Hlavná,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rozpracované; 1 - Odoslané; 2 - Zrušené,
0 is highest,0 je najvyššie,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Zoznam zdrojov, ktoré Klient App bude mať prístup k potom, čo ho užívateľ dovolí. <br> napríklad projekt",
A symbol for this currency. For e.g. $,"Symbol této měny,  např. $",
A4,A4,
ALL,Vše,
API,API,
API Access,Prístup API,
API Endpoint,Koncový bod rozhrania API,
API Endpoint Args,API Endpoint Args,
API Key,kľúč API,
API Method,Metóda API,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Nastavenie O nás,
About Us Team Member,O nás – člen týmu,
Access Key ID,Identifikátor prístupového kľúča,
Access Key Secret,Tajomstvo prístupového kľúča,
Access Log,Prístupový denník,
Access Token,Přístupový Token,
Access Token URL,Prístupová adresa Token,
Account,účet,
Accounts Manager,Manažér účtov,
Accounts User,Uživatel Účtů,
Action,Akce,
Action / Route,Akcia / trasa,
Action Timeout (Seconds),Akčný časový limit (sekundy),
Action Type,Typ akcie,
Actions,Akcie,
Active,Aktívny,
Active Domains,Aktívne domény,
Activity Log,Aktivita Log,
Add Container,Pridajte kontajner,
Add Custom Tags,Pridajte vlastné značky,
Add Gray Background,Pridajte sivé pozadie,
Add Signature,Priložiť podpis,
Add Total Row,Pridať riadok celkom,
Add Unsubscribe Link,Pridať odkaz pre odhlásenie,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Pridané HTML do sekcie &lt;head&gt; webovej stránky, používané najmä pre overovanie webových stránok a SEO",
Additional Permissions,Rozšířená oprávnění,
Address,Adresa,
Address And Contacts,Adresa a kontakty,
Address Line 1,Riadok adresy 1,
Address Line 2,Riadok adresy 2,
Address Template,Šablona adresy,
Address Title,Označenie adresy,
Address Type,Typ adresy,
Address and other legal information you may want to put in the footer.,"Adresa a další formální informace, které byste rádi uvedli v zápatí.",
Addresses And Contacts,Adresy a kontakty,
Adds a custom field to a DocType,Přidá přizpůsobené pole do DocType,
Administrator,Správce,
Advanced,Pokročilé,
Advanced Control,Rozšírené ovládanie,
Advanced Settings,Pokročilé nastavenia,
After Cancel,Po zrušení,
After Delete,Po odstránení,
After Save,Po uložení,
After Save (Submitted Document),Po uložení (predložený dokument),
After Submit,Po odoslaní,
Aggregate Function Based On,Agregovaná funkcia založená na,
Alert,Výstraha,
Align Labels to the Right,Zarovnajte štítky vpravo,
Align Right,Zarovnať správne,
All,ALL,
All Day,Celý den,
Allocated To,Pridelené na,
Allot Points To Assigned Users,Pridelte body priradeným používateľom,
Allow,dovoliť,
Allow Auto Repeat,Povoliť automatické opakovanie,
Allow Bulk Edit,Povoliť hromadnú úpravu,
Allow Comments,Povolit komentáre,
Allow Consecutive Login Attempts ,Povoliť pokusy o konsolidované prihlásenie,
Allow Delete,Povolit mazání,
Allow Dropbox Access,Povolit přístup Dropbox,
Allow Guest,Povoliť hosťa,
Allow Guest to View,Dovoliť hosťami zobraziť,
Allow Guests to Upload Files,Povoliť hosťom odovzdávanie súborov,
Allow Import (via Data Import Tool),Umožniť import (pomocou Import dát Tool),
Allow Incomplete Forms,Umožniť Neúplné formuláre,
Allow Login After Fail,Povoliť prihlásenie po zlyhaní,
Allow Login using Mobile Number,Povoliť prihlásenie pomocou čísla mobilného telefónu,
Allow Login using User Name,Povoliť prihlásenie pomocou používateľského mena,
Allow Modules,Povoliť moduly,
Allow Print,umožňujú tlač,
Allow Print for Cancelled,Umožňujú tlač pre Vypustený,
Allow Print for Draft,Umožňujú tlač pre Draft,
Allow Read On All Link Options,Povoliť prečítať všetky možnosti odkazu,
Allow Rename,Povolit přejmenování,
Allow Roles,povoliť role,
Allow Self Approval,Povolenie vlastného schválenia,
Allow approval for creator of the document,Povoliť schválenie pre tvorcu dokumentu,
Allow document creation via Email,Povoliť vytváranie dokumentov prostredníctvom e-mailu,
Allow events in timeline,Povoliť udalosti v časovej osi,
Allow in Quick Entry,Povoliť v rýchlom zadaní,
Allow on Submit,Povolit při Odeslání,
Allow only one session per user,Umožňujú len jednu reláciu na jedného používateľa,
Allow page break inside tables,Dovoliť koniec stránky vnútri tabuľky,
Allow saving if mandatory fields are not filled,"Umožniť ukladanie, ak povinné polia nie sú vyplnené",
Allow user to login only after this hour (0-24),Povolit uživateli se přihlásit pouze po této hodině (0-24),
Allow user to login only before this hour (0-24),Povolit uživatelům přihlásit pouze před tuto hodinu (0-24),
Allowed,Povoleno,
Allowed In Mentions,Povolené v správach,
"Always add ""Draft"" Heading for printing draft documents",Vždy pridať &quot;Koncept&quot; Okruh pre tlač konceptov dokumentov,
Amend,Změnit,
Amended From,Platném znění,
