"""Company History""","""Bedrijfsgeschiedenis""",
"""Team Members"" or ""Management""","""Teamleden"" of ""Management""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,**Valuta** Stam,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Ontwerp; 1 - Ingediend; 2 - Geannuleerd,
0 is highest,0 is hoogst,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Een lijst van de middelen die de Client App toegang zal moeten nadat de gebruiker toelaat. <br> bijv project,
A symbol for this currency. For e.g. $,Een symbool voor deze valuta. Voor bijvoorbeeld $,
A4,A4,
ALL,Alle,
API,API,
API Access,API-toegang,
API Endpoint,API-eindpunt,
API Endpoint Args,API-eindpuntargumenten,
API Key,API Key,
API Method,API-methode,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Over Ons Instellingen,
About Us Team Member,Over ons Teamlid,
Access Key ID,Toegang Key ID,
Access Key Secret,Toegang tot sleutelgeheim,
Access Log,Toegangslogboek,
Access Token,Toegang Token,
Access Token URL,Toegang tot token-URL,
Account,Rekening,
Accounts Manager,Rekeningen Beheerder,
Accounts User,Gebruikersaccounts,
Action,Actie,
Action / Route,Actie / route,
Action Timeout (Seconds),Actie-time-out (seconden),
Action Type,actie type,
Actions,Acties,
Active,Actief,
Active Domains,Actieve domeinen,
Activity Log,Activiteitenlogboek,
Add Container,Container toevoegen,
Add Custom Tags,Voeg aangepaste tags toe,
Add Gray Background,Voeg grijze achtergrond toe,
Add Signature,Handtekening toevoegen,
Add Total Row,Voeg Totaal Rij toe,
Add Unsubscribe Link,Voeg afmeldlink,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Toegevoegd HTML in de &lt;head&gt; sectie van de webpagina, voornamelijk gebruikt voor de website van verificatie en SEO",
Additional Permissions,Additionele Machtigingen,
Address,Adres,
Address And Contacts,Adres en contacten,
Address Line 1,Adres Lijn 1,
Address Line 2,Adres Lijn 2,
Address Template,Adres Sjabloon,
Address Title,Adres Titel,
Address Type,Adrestype,
Address and other legal information you may want to put in the footer.,Adres-en andere wettelijke informatie die u wilt zetten in de voettekst.,
Addresses And Contacts,Adressen en Contacten,
Adds a custom field to a DocType,Voegt een aangepast veld toe aan een DocType,
Administrator,Beheerder,
Advanced,Geavanceerd,
Advanced Control,Geavanceerde besturing,
Advanced Settings,Geavanceerde instellingen,
After Cancel,Na annuleren,
After Delete,Na verwijderen,
After Save,Na opslaan,
After Save (Submitted Document),Na opslaan (ingediend document),
After Submit,Na verzenden,
Aggregate Function Based On,Totale functie gebaseerd op,
Alert,Alert,
Align Labels to the Right,Richt Labels naar rechts,
Align Right,Rechts uitlijnen,
All,Allemaal,
All Day,Gehele dag,
Allocated To,Toegewezen aan,
Allot Points To Assigned Users,Wijs punten toe aan toegewezen gebruikers,
Allow,Toestaan,
Allow Auto Repeat,Automatisch herhalen toestaan,
Allow Bulk Edit,Laat Bulk Bewerken toe,
Allow Comments,Laat Reacties,
Allow Consecutive Login Attempts ,Sta opeenvolgende inlogpogingen toe,
Allow Delete,Laat Verwijderen,
Allow Dropbox Access,Laat Dropbox Access,
Allow Guest,Gast toestaan,
Allow Guest to View,Laat Gast te bekijken,
Allow Guests to Upload Files,Sta gasten toe bestanden te uploaden,
Allow Import (via Data Import Tool),Laat Import (via gegevens importeren Tool),
Allow Incomplete Forms,Laat Onvolledig ingevulde formulieren,
Allow Login After Fail,Aanmelden na mislukken toestaan,
Allow Login using Mobile Number,Log in met Mobielnummer,
Allow Login using User Name,Log in met gebruikersnaam,
Allow Modules,Modules toestaan,
Allow Print,laat Print,
Allow Print for Cancelled,Laat Print voor Geannuleerde,
Allow Print for Draft,Laat Print voor Draft,
Allow Read On All Link Options,Lees verder over alle linkopties,
Allow Rename,Laat hernoemen,
Allow Roles,laat Rollen,
Allow Self Approval,Toestaan zelf-goedkeuring,
Allow approval for creator of the document,Sta goedkeuring toe voor maker van het document,
Allow document creation via Email,Sta documentcreatie via e-mail toe,
Allow events in timeline,Laat gebeurtenissen toe in de tijdlijn,
Allow in Quick Entry,Toestaan bij snel invoeren,
Allow on Submit,Laat op Submit,
Allow only one session per user,Laat slechts één sessie per gebruiker,
Allow page break inside tables,Laat pagina-einde in tabellen,
Allow saving if mandatory fields are not filled,Laat het opslaan als verplichte velden niet zijn ingevuld,
Allow user to login only after this hour (0-24),Gebruiker mag alleen inloggen na dit uur (0-24),
Allow user to login only before this hour (0-24),Gebruiker mag alleen inloggen voor dit uur (0-24),
Allowed,Toegestaan,
Allowed In Mentions,Toegestaan in vermeldingen,
"Always add ""Draft"" Heading for printing draft documents",Voeg altijd &quot;Concept&quot; Heading for printing conceptdocumenten,
Amend,Amenderen,
Amended From,Gewijzigd Van,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Een icoon bestand met de extensie .ico. Moet 16 x 16 px. Gegenereerd met behulp van een favicon generator. [favicon-generator.org],
Analytics,Analytics,
Annual,jaar-,
Anonymous,Anoniem,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Elke string-gebaseerde printertalen kunnen worden gebruikt. Het schrijven van onbewerkte opdrachten vereist kennis van de moedertaal van de printer, geleverd door de printerfabrikant. Raadpleeg de ontwikkelaarshandleiding van de printerfabrikant over het schrijven van hun eigen opdrachten. Deze commando&#39;s worden aan de serverzijde weergegeven met behulp van de Jinja Templating Language.",
App,App,
App Access Key,App Access Key,
App Client ID,App Client ID,
App Client Secret,App Client Secret,
App Name,App Naam,
App Secret Key,App Secret Key,
Append Emails to Sent Folder,E-mails toevoegen aan map Verzonden,
Append To,Toevoegen aan,
Applicable For,Toepasselijk voor,
Application Logo,Toepassingslogo,
Application Name,Naam van de toepassing,
Application Version,Applicatie versie,
Applied On,Toegepast op,
Apply Document Permissions,Pas documentmachtigingen toe,
Apply Only Once,Slechts eenmaal toepassen,
Apply Strict User Permissions,Strikte Gebruikersvergunningen toepassen,
Apply To All Document Types,Toepassen op alle documenttypen,
Apply this rule if the User is the Owner,Pas deze regel als de gebruiker met de eigenaar,
Apply this rule only once per document,Pas deze regel slechts eenmaal per document toe,
Appreciation,Waardering,
Archived,Gearchiveerd,
Arial,Arial,
Assign Condition,Toestand toewijzen,
Assign To Users,Toewijzen aan gebruikers,
Assigned,toegewezen,
Assigned By,Toegewezen door,
Assigned By Full Name,In opdracht van volledige naam,
Assignment,toewijzing,
Assignment Completed,opdracht voltooid,
Assignment Days,Opdrachtdagen,
Assignment Rule,Toewijzingsregel,
Assignment Rule Day,Dag van de opdrachtregel,
Assignment Rule User,Toewijzingsregel Gebruiker,
Assignment Rules,Opdrachtregels,
Assignments,opdrachten,
Attach,Hechten,
Attach Image,Bevestig Afbeelding,
Attach Print,Bevestig Print,
Attached File,Bijgevoegd bestand,
Attached To DocType,Bijlage Aan DocType,
Attached To Field,Bijgevoegd aan veld,
Attached To Name,Gehecht Aan Naam,
Attachment,Gehechtheid,
Attachment Limit (MB),Attachment Limit (MB),
Attachment Link,Bijlage Link,
Attachment Removed,Attachment verwijderd,
Attachments,Toebehoren,
Auth URL Data,Auth URL-gegevens,
Authentication,authenticatie,
Author,Auteur,
Authorization Code,Authorisatie Code,
Authorize API Indexing  Access,Autoriseer API Indexing Access,
Authorize Google Calendar Access,Google Agenda-toegang autoriseren,
Authorize Google Contacts Access,Autoriseer Google Contacten Toegang,
Authorize Google Drive Access,Autoriseer Google Drive Access,
Authorize URL,Autoriseer URL,
Authorized,geautoriseerde,
Auto,Auto,
Auto Email Report,Auto Email Report,
Auto Name,Auto Naam,
Auto Repeat,Auto herhalen,
Auto Reply Message,Automatisch Antwoord,
Automatically Assign Documents to Users,Wijs automatisch documenten toe aan gebruikers,
Automation,Automatisering,
Avatar,Avatar,
Average,Gemiddelde,
Awaiting Password,In afwachting van wachtwoord,
Awaiting password,In afwachting van Password,
BCC,BCC,
Background Color,Achtergrondkleur,
Background Workers,Achtergrond werknemers,
Backup Details,Back-upgegevens,
Backup Files,Backup bestanden,
Backup Folder ID,Back-upmap-ID,
Backup Folder Name,Naam back-upmap,
Backup Frequency,Backup Frequentie,
Backup public and private files along with the database.,Maak samen met de database een back-up van openbare en privébestanden.,
Backups,Backups,
Banner,Banner,
Banner HTML,Banner HTML,
Banner Image,Banner Afbeelding,
Banner is above the Top Menu Bar.,Banner is boven de top menubalk.,
Bar,Bar,
Barcode,Barcode,
Base Distinguished Name (DN),Base Distinguished Name (DN),
Base URL,Basis-URL,
Based On,Gebaseerd op,
Based on Field,Gebaseerd op veld,
Based on Permissions For User,Op basis van de machtigingen voor de gebruiker,
Basic,Basis,
Before Cancel,Voor annuleren,
Before Delete,Voordat verwijderen,
Before Insert,Voor het invoegen,
Before Save,Voordat u opslaat,
Before Save (Submitted Document),Voor opslaan (verzonden document),
Before Submit,Voordat indienen,
Beginner,Beginner,
Beta,beta,
Billing,Facturering,
Bio,Bio,
Birth Date,Geboortedatum,
Block Module,Block Module,
Block Modules,Block Modules,
Blocked,Geblokkeerd,
Blog Category,Blog Categorie,
Blog Intro,Blog Intro,
Blog Introduction,Blog Inleiding,
Blog Post,Blog Post,
Blog Settings,Blog Instellingen,
Blog Title,Blog Titel,
Blogger,Blogger,
Blue,Blauw,
Bold,Stoutmoedig,
Bot,Bot,
Bottom,Bodem,
Bounced,Gebouncet,
Brand,Merk,
Brand HTML,Merk HTML,
Brand Image,merk Afbeelding,
Breadcrumbs,Broodkruimels,
Browser,Browser,
Browser Version,Browserversie,
Brute Force Security,Brute Force-beveiliging,
Bucket Name,Bucketnaam,
Bulk Update,bulk-update,
Button,Knop,
Button Gradients,Knop verlopen,
Button Rounded Corners,Knoop Afgeronde Hoeken,
Button Shadows,Knopschaduwen,
Bypass Restricted IP Address Check If Two Factor Auth Enabled,Beperkt IP-adres omzeilen Controleer of twee-factorenauthenticatie is ingeschakeld,
Bypass Two Factor Auth for users who login from restricted IP Address,Bypass Two Factor Auth voor gebruikers die zich aanmelden bij een beperkt IP-adres,
Bypass restricted IP Address check If Two Factor Auth Enabled,Bypass beperkte IP-adrescontrole Als twee factoren geactiveerd zijn,
CC,CC,
CSS,CSS,
CSS Class,CSS-klasse,
CSV,CSV,
CTA Label,CTA-label,
CTA URL,CTA-URL,
Calendar,Agenda,
Calendar Name,Kalendernaam,
Calendar View,Kalenderweergave,
Call,Bellen,
Call To Action,Oproep tot actie,
Call To Action URL,Call-to-action-URL,
Callback Message,Terugbelbericht,
Callback Title,Callback-titel,
Campaign,Campagne,
Cancel,Annuleren,
Cancelled,Geannuleerd,
Card,Kaart,
Cards,Kaarten,
Category,Categorie,
Category Description,categorie Omschrijving,
Category Name,Categorienaam,
Center,Centreren,
Chaining Hash,Hash koppelen,
Change Label (via Custom Translation),Label wijzigen (via Custom Translation),
Change Password,Verander wachtwoord,
Channel,Kanaal,
Chart,tabel,
Chart Configuration,Kaartconfiguratie,
Chart Name,Grafieknaam,
