"""Company History""",&quot;සමාගම ඉතිහාසය&quot;,
"""Team Members"" or ""Management""",&quot;කණ්ඩායම මන්ත්රීවරුන්&quot; හෝ &quot;කළමනාකරණය&quot;,
&lt;head&gt; HTML,&lt;Head&gt; HTML,
**Currency** Master,** ව්යවහාර මුදල් ** මාස්ටර්,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - කෙටුම්පත්; 1 - ඉදිරිපත්; 2 - අහෝසි,
0 is highest,0 ඉහළම,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,පරිශීලක ඉඩ සලසන පසු සේවාලාභියා යෙදුම හැකියාව ලැබේ වන සම්පත් පිළිබඳ ලැයිස්තුවක්. <br> උදා: ව්යාපෘතිය,
A symbol for this currency. For e.g. $,මෙම මුදල් සඳහා සංකේතය. උදා: $ සඳහා,
A4,A4 ප්රමාණයේ,
ALL,සියලු,
API,API,
API Access,API ප්‍රවේශය,
API Endpoint,API අවසානය,
API Endpoint Args,API Endpoint Args,
API Key,API යතුර,
API Method,API ක්‍රමය,
API Secret,API රහස්,
ASC,ආරෝ,
About Us Settings,අප ගැන සැකසුම්,
About Us Team Member,අප ගැන කණ්ඩායම් සාමාජික,
Access Key ID,මූලික ID ප්රවේශය,
Access Key Secret,යතුරු රහස වෙත ප්‍රවේශ වන්න,
Access Log,ප්‍රවේශ ලොගය,
Access Token,ටෝකනය,
Access Token URL,ටෝකන URL වෙත ප්රවේශ වන්න,
Account,ගිණුම,
Accounts Manager,ගිණුම් කළමනාකරු,
Accounts User,ගිණුම් පරිශීලක,
Action,කටයුතු,
Action / Route,ක්‍රියාව / මාර්ගය,
Action Timeout (Seconds),ක්රියාකාරී කාල සීමාව (තත්පර),
Action Type,ක්‍රියා වර්ගය,
Actions,ක්රියා,
Active,ක්රියාකාරී,
Active Domains,ක්රියාකාරී වසම්,
Activity Log,ක්රියාකාරකම් ලොග්,
Add Container,බහාලුම් එක් කරන්න,
Add Custom Tags,අභිරුචි ටැග් එක් කරන්න,
Add Gray Background,අළු පසුබිම එක් කරන්න,
Add Signature,අත්සන එකතු කරන්න,
Add Total Row,මුළු ෙරෝ එකතු කරන්න,
Add Unsubscribe Link,"වනවාද, ලින්ක් එකතු කරන්න",
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",මූලික වශයෙන් වෙබ් අඩවිය සත්යාපනය හා SEO සඳහා භාවිතා කරන වෙබ් පිටුවේ &lt;head&gt; කොටස තුල එකතු HTML,
Additional Permissions,අතිරේක අවසර,
Address,ලිපිනය,
Address And Contacts,ලිපිනය සහ සම්බන්ධතා,
Address Line 1,ලිපින පේළි 1,
Address Line 2,ලිපින පේළිය 2,
Address Template,ලිපිනය සැකිල්ල,
Address Title,ලිපිනය හිමිකම්,
Address Type,ලිපිනය වර්ගය,
Address and other legal information you may want to put in the footer.,ලිපිනය සහ ඔබ පාදකය ක්රියාත්මක කිරීමට අවශ්ය විය හැක අනෙකුත් නීතිමය තොරතුරු.,
Addresses And Contacts,ලිපින හා සම්බන්ධතා,
Adds a custom field to a DocType,එය DocType කිරීමට රිසිකළ ක්ෂේත්රය තවදුරටත්,
Administrator,පරිපාලක,
Advanced,උසස්,
Advanced Control,උසස් පාලනය,
Advanced Settings,උසස් සැකසුම්,
After Cancel,අවලංගු කිරීමෙන් පසු,
